,Date,Team,Location,Opponent,Result
54,2023-04-04,CHI,H,ATL,L
55,2023-04-02,MIN,H,POR,L
56,2023-04-02,CLE,H,IND,W
57,2023-04-02,MIL,H,PHI,W
58,2023-04-02,SAC,H,SAS,L
59,2023-04-02,ORL,H,DET,W
60,2023-04-02,ATL,H,DAL,W
61,2023-04-02,CHA,H,TOR,L
62,2023-04-02,OKC,H,PHX,L
63,2023-04-02,CHI,H,MEM,W
64,2023-04-02,HOU,H,LAL,L
65,2023-04-02,BKN,H,UTA,W
66,2023-04-02,NYK,H,WAS,W
67,2023-04-02,DEN,H,GSW,W
68,2023-04-01,MIA,H,DAL,W
69,2023-04-01,NOP,H,LAC,W
70,2023-03-31,GSW,H,SAS,W
71,2023-03-31,MIN,H,LAL,L
72,2023-03-31,PHI,H,TOR,W
73,2023-03-31,CLE,H,NYK,L
74,2023-03-31,WAS,H,ORL,L
75,2023-03-31,POR,H,SAC,L
76,2023-03-31,HOU,H,DET,W
77,2023-03-31,IND,H,OKC,W
78,2023-03-31,PHX,H,DEN,W
79,2023-03-31,CHA,H,CHI,L
80,2023-03-31,BOS,H,UTA,W
81,2023-03-31,MEM,H,LAC,W
82,2023-03-31,BKN,H,ATL,W
83,2023-03-30,MIL,H,BOS,L
84,2023-03-30,DEN,H,NOP,L
85,2023-03-29,BKN,H,HOU,W
86,2023-03-29,MEM,H,LAC,L
87,2023-03-29,CHI,H,LAL,L
88,2023-03-29,NYK,H,MIA,W
89,2023-03-29,SAS,H,UTA,L
90,2023-03-29,PHX,H,MIN,W
91,2023-03-29,POR,H,SAC,L
92,2023-03-29,OKC,H,DET,W
93,2023-03-29,PHI,H,DAL,W
94,2023-03-29,IND,H,MIL,L
95,2023-03-28,WAS,H,BOS,W
96,2023-03-28,TOR,H,MIA,W
97,2023-03-28,OKC,H,CHA,L
98,2023-03-28,ATL,H,CLE,W
99,2023-03-28,GSW,H,NOP,W
100,2023-03-28,MEM,H,ORL,W
101,2023-03-27,POR,H,NOP,L
102,2023-03-27,NYK,H,HOU,W
103,2023-03-27,DEN,H,PHI,W
104,2023-03-27,SAC,H,MIN,L
105,2023-03-27,LAC,H,CHI,W
106,2023-03-27,DET,H,MIL,L
107,2023-03-27,IND,H,DAL,L
108,2023-03-27,UTA,H,PHX,L
109,2023-03-26,CHA,H,DAL,W
110,2023-03-26,GSW,H,MIN,L
111,2023-03-26,CLE,H,HOU,W
112,2023-03-26,BOS,H,SAS,W
113,2023-03-26,ATL,H,MEM,L
114,2023-03-26,LAL,H,CHI,L
115,2023-03-26,ORL,H,BKN,W
116,2023-03-26,POR,H,OKC,L
117,2023-03-26,TOR,H,WAS,W
118,2023-03-25,DEN,H,MIL,W
119,2023-03-25,LAC,H,NOP,L
120,2023-03-25,MIA,H,BKN,L
121,2023-03-25,ATL,H,IND,W
122,2023-03-25,PHX,H,PHI,W
123,2023-03-25,SAC,H,UTA,W
124,2023-03-24,LAL,H,OKC,W
125,2023-03-24,UTA,H,MIL,L
126,2023-03-24,SAC,H,PHX,W
127,2023-03-24,MEM,H,HOU,W
128,2023-03-24,GSW,H,PHI,W
129,2023-03-24,BOS,H,IND,W
130,2023-03-24,WAS,H,SAS,W
131,2023-03-24,DAL,H,CHA,L
132,2023-03-24,POR,H,CHI,L
133,2023-03-24,TOR,H,DET,W
134,2023-03-23,LAC,H,OKC,W
135,2023-03-23,NOP,H,CHA,W
136,2023-03-23,ORL,H,NYK,W
137,2023-03-23,BKN,H,CLE,L
138,2023-03-22,MIA,H,NYK,W
139,2023-03-22,WAS,H,DEN,L
140,2023-03-22,TOR,H,IND,L
141,2023-03-22,MEM,H,HOU,W
142,2023-03-22,LAL,H,PHX,W
143,2023-03-22,MIN,H,ATL,W
144,2023-03-22,DAL,H,GSW,L
145,2023-03-22,UTA,H,POR,L
146,2023-03-22,MIL,H,SAS,W
147,2023-03-22,CHI,H,PHI,L
148,2023-03-21,ORL,H,WAS,W
149,2023-03-21,ATL,H,DET,W
150,2023-03-21,NOP,H,SAS,W
151,2023-03-21,SAC,H,BOS,L
152,2023-03-21,LAC,H,OKC,L
153,2023-03-21,BKN,H,CLE,L
154,2023-03-20,NYK,H,MIN,L
155,2023-03-20,UTA,H,SAC,W
156,2023-03-20,CHA,H,IND,W
157,2023-03-20,PHI,H,CHI,L
158,2023-03-20,HOU,H,GSW,L
159,2023-03-20,MEM,H,DAL,W
160,2023-03-19,MIL,H,TOR,W
161,2023-03-19,OKC,H,PHX,W
162,2023-03-19,SAS,H,ATL,W
163,2023-03-19,POR,H,LAC,L
164,2023-03-19,BKN,H,DEN,L
165,2023-03-19,LAL,H,ORL,W
166,2023-03-19,DET,H,MIA,L
167,2023-03-19,HOU,H,NOP,L
168,2023-03-18,IND,H,PHI,L
169,2023-03-18,WAS,H,SAC,L
170,2023-03-18,TOR,H,MIN,W
171,2023-03-18,MEM,H,GSW,W
172,2023-03-18,NYK,H,DEN,W
173,2023-03-18,UTA,H,BOS,W
174,2023-03-18,CHI,H,MIA,W
175,2023-03-18,LAC,H,ORL,L
176,2023-03-17,CHI,H,MIN,W
177,2023-03-17,CLE,H,WAS,W
178,2023-03-17,SAS,H,MEM,L
179,2023-03-17,POR,H,BOS,L
180,2023-03-17,HOU,H,NOP,W
181,2023-03-17,LAL,H,DAL,L
182,2023-03-17,ATL,H,GSW,W
183,2023-03-17,CHA,H,PHI,L
184,2023-03-16,BKN,H,SAC,L
185,2023-03-16,TOR,H,OKC,W
186,2023-03-16,MIL,H,IND,L
187,2023-03-16,DET,H,DEN,L
188,2023-03-16,PHX,H,ORL,W
189,2023-03-15,LAC,H,GSW,W
190,2023-03-15,MIA,H,MEM,W
191,2023-03-15,CHI,H,SAC,L
192,2023-03-15,CLE,H,PHI,L
193,2023-03-15,HOU,H,LAL,W
194,2023-03-15,MIN,H,BOS,L
195,2023-03-15,SAS,H,DAL,L
196,2023-03-14,SAS,H,ORL,W
197,2023-03-14,CHA,H,CLE,L
198,2023-03-14,OKC,H,BKN,W
199,2023-03-14,WAS,H,DET,W
200,2023-03-14,POR,H,NYK,L
201,2023-03-14,PHX,H,MIL,L
202,2023-03-14,NOP,H,LAL,L
203,2023-03-14,TOR,H,DEN,W
204,2023-03-13,HOU,H,BOS,W
205,2023-03-13,DAL,H,MEM,L
206,2023-03-13,GSW,H,PHX,W
207,2023-03-13,SAC,H,MIL,L
208,2023-03-13,ATL,H,MIN,L
209,2023-03-13,MIA,H,UTA,W
210,2023-03-13,DET,H,IND,W
211,2023-03-12,PHI,H,WAS,W
212,2023-03-12,CHA,H,CLE,L
213,2023-03-12,DEN,H,BKN,L
214,2023-03-12,NOP,H,POR,W
215,2023-03-12,SAS,H,OKC,L
216,2023-03-12,LAL,H,NYK,L
217,2023-03-11,CHA,H,UTA,L
218,2023-03-11,ATL,H,BOS,L
219,2023-03-11,HOU,H,CHI,L
220,2023-03-11,MEM,H,DAL,W
221,2023-03-11,PHX,H,SAC,L
222,2023-03-11,LAC,H,NYK,W
223,2023-03-11,ORL,H,MIA,W
224,2023-03-11,DET,H,IND,L
225,2023-03-11,GSW,H,MIL,W
226,2023-03-11,NOP,H,OKC,L
227,2023-03-10,WAS,H,ATL,L
228,2023-03-10,PHI,H,POR,W
229,2023-03-10,MIN,H,BKN,L
230,2023-03-10,LAL,H,TOR,W
231,2023-03-10,MIA,H,CLE,W
232,2023-03-10,SAS,H,DEN,W
233,2023-03-09,MIL,H,BKN,W
234,2023-03-09,MEM,H,GSW,W
235,2023-03-09,DET,H,CHA,L
236,2023-03-09,ORL,H,UTA,L
237,2023-03-09,SAC,H,NYK,W
238,2023-03-09,IND,H,HOU,W
239,2023-03-08,DEN,H,CHI,L
240,2023-03-08,MIA,H,CLE,L
241,2023-03-08,NOP,H,DAL,W
242,2023-03-08,PHX,H,OKC,W
243,2023-03-08,LAC,H,TOR,W
244,2023-03-08,BOS,H,POR,W
245,2023-03-08,WAS,H,ATL,L
246,2023-03-07,DAL,H,UTA,W
247,2023-03-07,HOU,H,BKN,L
248,2023-03-07,LAL,H,MEM,W
249,2023-03-07,MIN,H,PHI,L
250,2023-03-07,OKC,H,GSW,W
251,2023-03-07,ORL,H,MIL,L
252,2023-03-07,NYK,H,CHA,L
253,2023-03-07,DET,H,WAS,L
254,2023-03-06,DEN,H,TOR,W
255,2023-03-06,CLE,H,BOS,W
256,2023-03-06,SAC,H,NOP,W
257,2023-03-06,MIA,H,ATL,W
258,2023-03-06,DET,H,POR,L
259,2023-03-06,IND,H,PHI,L
260,2023-03-05,LAC,H,MEM,W
261,2023-03-05,HOU,H,SAS,W
262,2023-03-05,BOS,H,NYK,L
263,2023-03-05,CHI,H,IND,L
264,2023-03-05,LAL,H,GSW,W
265,2023-03-05,ORL,H,POR,L
266,2023-03-05,OKC,H,UTA,W
267,2023-03-05,DAL,H,PHX,L
268,2023-03-05,WAS,H,MIL,L
269,2023-03-05,BKN,H,CHA,W
270,2023-03-04,SAS,H,HOU,L
271,2023-03-04,SAC,H,MIN,L
272,2023-03-04,MIL,H,PHI,L
273,2023-03-04,CLE,H,DET,W
274,2023-03-04,WAS,H,TOR,L
275,2023-03-04,MIA,H,ATL,W
276,2023-03-03,ATL,H,POR,W
277,2023-03-03,CHI,H,PHX,L
278,2023-03-03,DEN,H,MEM,W
279,2023-03-03,CHA,H,ORL,L
280,2023-03-03,OKC,H,UTA,W
281,2023-03-03,LAL,H,MIN,L
282,2023-03-03,MIA,H,NYK,L
283,2023-03-03,BOS,H,BKN,L
284,2023-03-03,SAC,H,LAC,W
285,2023-03-03,GSW,H,NOP,W
286,2023-03-02,GSW,H,LAC,W
287,2023-03-02,SAS,H,IND,W
288,2023-03-02,WAS,H,TOR,W
289,2023-03-02,DAL,H,PHI,W
290,2023-03-01,POR,H,NOP,L
291,2023-03-01,NYK,H,BKN,W
292,2023-03-01,DET,H,CHI,L
293,2023-03-01,BOS,H,CLE,W
294,2023-03-01,MIL,H,ORL,W
295,2023-03-01,MIA,H,PHI,L
296,2023-03-01,HOU,H,MEM,L
297,2023-03-01,CHA,H,PHX,L
298,2023-03-01,OKC,H,LAL,L
299,2023-02-28,BKN,H,MIL,L
300,2023-02-28,MEM,H,LAL,W
301,2023-02-28,TOR,H,CHI,W
302,2023-02-28,HOU,H,DEN,L
303,2023-02-28,LAC,H,MIN,L
304,2023-02-28,DAL,H,IND,L
305,2023-02-28,GSW,H,POR,W
306,2023-02-28,UTA,H,SAS,L
307,2023-02-28,ATL,H,WAS,L
308,2023-02-28,OKC,H,SAC,L
309,2023-02-27,PHI,H,MIA,L
310,2023-02-27,CHA,H,DET,W
311,2023-02-27,NOP,H,ORL,L
312,2023-02-27,NYK,H,BOS,W
313,2023-02-26,DEN,H,LAC,W
314,2023-02-26,POR,H,HOU,W
315,2023-02-26,CHI,H,WAS,W
316,2023-02-26,CLE,H,TOR,W
317,2023-02-26,MIL,H,PHX,W
318,2023-02-26,ATL,H,BKN,W
319,2023-02-26,OKC,H,SAC,L
320,2023-02-26,DAL,H,LAL,L
321,2023-02-26,GSW,H,MIN,W
322,2023-02-25,NYK,H,NOP,W
323,2023-02-25,UTA,H,SAS,W
324,2023-02-25,ORL,H,IND,L
325,2023-02-25,MEM,H,DEN,W
326,2023-02-25,DET,H,TOR,L
327,2023-02-25,CHA,H,MIA,W
328,2023-02-25,PHI,H,BOS,L
329,2023-02-24,MIN,H,CHA,L
330,2023-02-24,ATL,H,CLE,W
331,2023-02-24,PHX,H,OKC,W
332,2023-02-24,LAC,H,SAC,L
333,2023-02-24,WAS,H,NYK,L
334,2023-02-24,MIL,H,MIA,W
335,2023-02-24,CHI,H,BKN,W
336,2023-02-24,GSW,H,HOU,W
337,2023-02-23,LAL,H,GSW,W
338,2023-02-23,IND,H,BOS,L
339,2023-02-23,CLE,H,DEN,L
340,2023-02-23,DAL,H,SAS,W
341,2023-02-23,SAC,H,POR,W
342,2023-02-23,UTA,H,OKC,W
343,2023-02-23,ORL,H,DET,W
344,2023-02-23,PHI,H,MEM,W
345,2023-02-23,TOR,H,NOP,W
346,2023-02-16,MIN,H,WAS,L
347,2023-02-16,PHX,H,LAC,L
348,2023-02-16,CHI,H,MIL,L
349,2023-02-15,BKN,H,MIA,W
350,2023-02-15,OKC,H,HOU,W
351,2023-02-15,PHI,H,CLE,W
352,2023-02-15,DEN,H,DAL,W
353,2023-02-15,BOS,H,DET,W
354,2023-02-15,LAL,H,NOP,W
355,2023-02-15,IND,H,CHI,W
356,2023-02-15,ATL,H,NYK,L
357,2023-02-15,CHA,H,SAS,W
358,2023-02-15,MEM,H,UTA,W
359,2023-02-14,TOR,H,ORL,W
360,2023-02-14,PHX,H,SAC,W
361,2023-02-14,POR,H,WAS,L
362,2023-02-14,LAC,H,GSW,W
363,2023-02-14,MIL,H,BOS,W
364,2023-02-13,OKC,H,NOP,L
365,2023-02-13,MIA,H,DEN,L
366,2023-02-13,NYK,H,BKN,W
367,2023-02-13,DAL,H,MIN,L
368,2023-02-13,POR,H,LAL,W
369,2023-02-13,IND,H,UTA,L
370,2023-02-13,CLE,H,SAS,W
371,2023-02-13,PHI,H,HOU,W
372,2023-02-13,GSW,H,WAS,W
373,2023-02-13,CHI,H,ORL,L
374,2023-02-13,CHA,H,ATL,W
375,2023-02-12,BOS,H,MEM,W
376,2023-02-12,TOR,H,DET,W
377,2023-02-11,GSW,H,LAL,L
378,2023-02-11,ATL,H,SAS,W
379,2023-02-11,ORL,H,MIA,L
380,2023-02-11,SAC,H,DAL,W
381,2023-02-11,WAS,H,IND,W
382,2023-02-11,CLE,H,CHI,W
383,2023-02-11,BKN,H,PHI,L
384,2023-02-11,NYK,H,UTA,W
385,2023-02-11,CHA,H,DEN,L
386,2023-02-10,LAC,H,MIL,L
387,2023-02-10,TOR,H,UTA,L
388,2023-02-10,MIA,H,HOU,W
389,2023-02-10,PHI,H,NYK,W
390,2023-02-10,SAC,H,DAL,L
391,2023-02-10,MEM,H,MIN,W
392,2023-02-10,DET,H,SAS,W
393,2023-02-10,POR,H,OKC,L
394,2023-02-10,BOS,H,CHA,W
395,2023-02-10,NOP,H,CLE,L
396,2023-02-10,IND,H,PHX,L
397,2023-02-09,BKN,H,CHI,W
398,2023-02-09,ATL,H,PHX,W
399,2023-02-09,ORL,H,DEN,W
400,2023-02-09,LAL,H,MIL,L
401,2023-02-08,WAS,H,CHA,W
402,2023-02-08,HOU,H,SAC,L
403,2023-02-08,LAC,H,DAL,L
404,2023-02-08,CLE,H,DET,W
405,2023-02-08,UTA,H,MIN,L
406,2023-02-08,POR,H,GSW,W
407,2023-02-08,BOS,H,PHI,W
408,2023-02-08,TOR,H,SAS,W
409,2023-02-08,MIA,H,IND,W
410,2023-02-07,ORL,H,NYK,L
411,2023-02-07,LAL,H,OKC,L
412,2023-02-07,MEM,H,CHI,W
413,2023-02-07,DEN,H,MIN,W
414,2023-02-07,BKN,H,PHX,L
415,2023-02-07,NOP,H,ATL,W
416,2023-02-06,GSW,H,OKC,W
417,2023-02-06,BKN,H,LAC,L
418,2023-02-06,CHI,H,SAS,W
419,2023-02-06,HOU,H,SAC,L
420,2023-02-06,DET,H,BOS,L
421,2023-02-06,POR,H,MIL,L
422,2023-02-06,UTA,H,DAL,L
423,2023-02-06,WAS,H,CLE,L
424,2023-02-05,MIN,H,DEN,W
425,2023-02-05,CHA,H,ORL,L
426,2023-02-05,MEM,H,TOR,L
427,2023-02-05,IND,H,CLE,L
428,2023-02-05,NYK,H,PHI,W
429,2023-02-05,NOP,H,SAC,W
430,2023-02-04,BKN,H,WAS,W
431,2023-02-04,DEN,H,ATL,W
432,2023-02-04,OKC,H,HOU,W
433,2023-02-04,NOP,H,LAL,W
434,2023-02-04,MIL,H,MIA,W
435,2023-02-04,CHI,H,POR,W
436,2023-02-04,NYK,H,LAC,L
437,2023-02-04,GSW,H,DAL,W
438,2023-02-04,DET,H,PHX,L
439,2023-02-03,UTA,H,ATL,L
440,2023-02-03,DET,H,CHA,W
441,2023-02-03,SAS,H,PHI,L
442,2023-02-03,BOS,H,PHX,L
443,2023-02-03,IND,H,SAC,W
444,2023-02-03,WAS,H,POR,L
445,2023-02-03,HOU,H,TOR,L
446,2023-02-03,MIN,H,ORL,L
447,2023-02-02,DAL,H,NOP,W
448,2023-02-02,NYK,H,MIA,W
449,2023-02-02,IND,H,LAL,L
450,2023-02-02,MIL,H,LAC,W
451,2023-02-02,CLE,H,MEM,W
452,2023-02-02,DEN,H,GSW,W
453,2023-02-02,CHI,H,CHA,W
454,2023-02-01,MEM,H,POR,L
455,2023-02-01,HOU,H,OKC,W
456,2023-02-01,PHX,H,ATL,L
457,2023-02-01,SAS,H,SAC,L
458,2023-02-01,UTA,H,TOR,W
459,2023-02-01,MIN,H,GSW,W
460,2023-02-01,PHI,H,ORL,W
461,2023-02-01,BOS,H,BKN,W
462,2023-01-31,CHI,H,LAC,L
463,2023-01-31,CLE,H,MIA,L
464,2023-01-31,MIL,H,CHA,W
465,2023-01-31,DEN,H,NOP,W
466,2023-01-31,NYK,H,LAL,L
467,2023-01-30,DAL,H,DET,W
468,2023-01-30,MIN,H,SAC,L
469,2023-01-30,BKN,H,LAL,W
470,2023-01-30,OKC,H,GSW,L
471,2023-01-30,PHX,H,TOR,W
472,2023-01-30,POR,H,ATL,W
473,2023-01-30,SAS,H,WAS,L
474,2023-01-30,PHI,H,ORL,L
475,2023-01-29,CLE,H,LAC,W
476,2023-01-29,MIL,H,NOP,W
477,2023-01-29,CHA,H,MIA,W
478,2023-01-29,MEM,H,IND,W
479,2023-01-28,PHI,H,DEN,W
480,2023-01-28,MIN,H,SAC,W
481,2023-01-28,DET,H,HOU,L
482,2023-01-28,POR,H,TOR,L
483,2023-01-28,ORL,H,CHI,L
484,2023-01-28,ATL,H,LAC,L
485,2023-01-28,BKN,H,NYK,W
486,2023-01-28,UTA,H,DAL,W
487,2023-01-28,BOS,H,LAL,W
488,2023-01-28,NOP,H,WAS,L
489,2023-01-28,SAS,H,PHX,L
490,2023-01-27,OKC,H,CLE,W
491,2023-01-27,MIN,H,MEM,W
492,2023-01-27,MIA,H,ORL,W
493,2023-01-27,IND,H,MIL,L
494,2023-01-27,GSW,H,TOR,W
495,2023-01-26,LAC,H,SAS,W
496,2023-01-26,BKN,H,DET,L
497,2023-01-26,PHX,H,DAL,L
498,2023-01-26,CHA,H,CHI,W
499,2023-01-26,HOU,H,CLE,L
500,2023-01-26,BOS,H,NYK,L
501,2023-01-25,POR,H,UTA,W
502,2023-01-25,ORL,H,IND,W
503,2023-01-25,SAC,H,TOR,L
504,2023-01-25,MIL,H,DEN,W
505,2023-01-25,GSW,H,MEM,W
506,2023-01-25,PHI,H,BKN,W
507,2023-01-25,OKC,H,ATL,L
508,2023-01-25,HOU,H,WAS,L
509,2023-01-25,NOP,H,MIN,L
510,2023-01-25,LAL,H,SAS,W
511,2023-01-24,NYK,H,CLE,W
512,2023-01-24,NOP,H,DEN,L
513,2023-01-24,LAL,H,LAC,L
514,2023-01-24,PHX,H,CHA,W
515,2023-01-24,IND,H,CHI,W
516,2023-01-24,MIA,H,BOS,W
517,2023-01-24,DAL,H,WAS,L
518,2023-01-23,SAC,H,MEM,W
519,2023-01-23,POR,H,SAS,W
520,2023-01-23,HOU,H,MIN,W
521,2023-01-23,ORL,H,BOS,W
522,2023-01-23,CHI,H,ATL,W
523,2023-01-23,DET,H,MIL,L
524,2023-01-23,UTA,H,CHA,W
525,2023-01-22,DAL,H,LAC,L
526,2023-01-22,GSW,H,BKN,L
527,2023-01-22,POR,H,LAL,L
528,2023-01-22,MIA,H,NOP,W
529,2023-01-22,PHX,H,MEM,W
530,2023-01-22,TOR,H,NYK,W
531,2023-01-22,DEN,H,OKC,L
532,2023-01-21,PHX,H,IND,W
533,2023-01-21,ATL,H,CHA,L
534,2023-01-21,CLE,H,MIL,W
535,2023-01-21,TOR,H,BOS,L
536,2023-01-21,WAS,H,ORL,W
537,2023-01-21,SAC,H,PHI,L
538,2023-01-21,MIN,H,HOU,W
539,2023-01-20,ORL,H,NOP,W
540,2023-01-20,ATL,H,NYK,W
541,2023-01-20,DEN,H,IND,W
542,2023-01-20,SAS,H,LAC,L
543,2023-01-20,DAL,H,MIA,W
544,2023-01-20,UTA,H,BKN,L
545,2023-01-20,LAL,H,MEM,W
546,2023-01-20,CLE,H,GSW,L
547,2023-01-20,SAC,H,OKC,W
548,2023-01-19,BOS,H,GSW,W
549,2023-01-19,DET,H,CHI,L
550,2023-01-19,POR,H,PHI,L
551,2023-01-19,PHX,H,BKN,W
552,2023-01-19,MIN,H,TOR,W
553,2023-01-18,NOP,H,MIA,L
554,2023-01-18,HOU,H,CHA,L
555,2023-01-18,UTA,H,LAC,W
556,2023-01-18,DAL,H,ATL,L
557,2023-01-18,DEN,H,MIN,W
558,2023-01-18,MEM,H,CLE,W
559,2023-01-18,LAL,H,SAC,L
560,2023-01-18,OKC,H,IND,W
561,2023-01-18,NYK,H,WAS,L
562,2023-01-17,DEN,H,POR,W
563,2023-01-17,SAS,H,BKN,W
564,2023-01-17,LAC,H,PHI,L
565,2023-01-17,MIL,H,TOR,W
566,2023-01-16,NYK,H,TOR,L
567,2023-01-16,MIL,H,IND,W
568,2023-01-16,CLE,H,NOP,W
569,2023-01-16,CHA,H,BOS,L
570,2023-01-16,MIN,H,UTA,L
571,2023-01-16,ATL,H,MIA,W
572,2023-01-16,WAS,H,GSW,L
573,2023-01-16,LAL,H,HOU,W
574,2023-01-16,MEM,H,PHX,W
575,2023-01-15,LAL,H,PHI,L
576,2023-01-15,POR,H,DAL,W
577,2023-01-15,DET,H,NYK,L
578,2023-01-15,DEN,H,ORL,W
579,2023-01-15,SAS,H,SAC,L
580,2023-01-15,CHI,H,GSW,W
581,2023-01-15,LAC,H,HOU,W
582,2023-01-15,BKN,H,OKC,L
583,2023-01-14,MIN,H,CLE,W
584,2023-01-14,TOR,H,ATL,L
585,2023-01-14,IND,H,MEM,L
586,2023-01-14,UTA,H,PHI,L
587,2023-01-14,POR,H,DAL,W
588,2023-01-14,MIA,H,MIL,W
589,2023-01-14,CHA,H,BOS,L
590,2023-01-13,SAS,H,GSW,L
591,2023-01-13,WAS,H,NYK,L
592,2023-01-13,SAC,H,HOU,W
593,2023-01-13,LAC,H,DEN,L
594,2023-01-13,MIN,H,PHX,W
595,2023-01-13,UTA,H,ORL,W
596,2023-01-13,CHI,H,OKC,L
597,2023-01-13,IND,H,ATL,L
598,2023-01-13,DET,H,NOP,L
599,2023-01-12,LAL,H,DAL,L
600,2023-01-12,BKN,H,BOS,L
601,2023-01-12,TOR,H,CHA,W
602,2023-01-12,POR,H,CLE,L
603,2023-01-12,PHI,H,OKC,L
604,2023-01-12,MIA,H,MIL,W
605,2023-01-11,DET,H,MIN,W
606,2023-01-11,WAS,H,CHI,W
607,2023-01-11,DEN,H,PHX,W
608,2023-01-11,SAC,H,HOU,W
609,2023-01-11,NYK,H,IND,W
610,2023-01-11,MEM,H,SAS,W
611,2023-01-11,ATL,H,MIL,L
612,2023-01-11,BOS,H,NOP,W
613,2023-01-10,PHI,H,DET,W
614,2023-01-10,UTA,H,CLE,W
615,2023-01-10,TOR,H,CHA,W
616,2023-01-10,GSW,H,PHX,L
617,2023-01-10,POR,H,ORL,L
618,2023-01-10,LAC,H,DAL,W
619,2023-01-10,MIA,H,OKC,W
620,2023-01-09,NYK,H,MIL,L
621,2023-01-09,SAC,H,ORL,W
622,2023-01-09,MEM,H,SAS,W
623,2023-01-09,DEN,H,LAL,W
624,2023-01-09,WAS,H,NOP,L
625,2023-01-09,BOS,H,CHI,W
626,2023-01-08,DET,H,PHI,L
627,2023-01-08,OKC,H,DAL,W
628,2023-01-08,LAC,H,ATL,L
629,2023-01-08,TOR,H,POR,W
630,2023-01-08,MIA,H,BKN,L
631,2023-01-08,IND,H,CHA,W
632,2023-01-08,MEM,H,UTA,W
633,2023-01-08,HOU,H,MIN,L
634,2023-01-08,PHX,H,CLE,L
635,2023-01-07,CHI,H,UTA,W
636,2023-01-07,DAL,H,NOP,W
637,2023-01-07,GSW,H,ORL,L
638,2023-01-07,SAC,H,LAL,L
639,2023-01-07,SAS,H,BOS,L
640,2023-01-06,TOR,H,NYK,L
641,2023-01-06,SAS,H,DET,W
642,2023-01-06,MIN,H,LAC,W
643,2023-01-06,LAL,H,ATL,W
644,2023-01-06,OKC,H,WAS,W
645,2023-01-06,MIL,H,CHA,L
646,2023-01-06,IND,H,POR,W
647,2023-01-06,PHI,H,CHI,L
648,2023-01-06,NOP,H,BKN,L
649,2023-01-06,DEN,H,CLE,W
650,2023-01-06,PHX,H,MIA,L
651,2023-01-05,HOU,H,UTA,L
652,2023-01-05,DEN,H,LAC,W
653,2023-01-05,DAL,H,BOS,L
654,2023-01-05,ORL,H,MEM,L
655,2023-01-04,NOP,H,HOU,W
656,2023-01-04,MIN,H,POR,W
657,2023-01-04,CHI,H,BKN,W
658,2023-01-04,LAL,H,MIA,W
659,2023-01-04,CHA,H,MEM,L
660,2023-01-04,NYK,H,SAS,W
661,2023-01-04,CLE,H,PHX,W
662,2023-01-04,SAC,H,ATL,L
663,2023-01-04,ORL,H,OKC,W
664,2023-01-04,GSW,H,DET,L
665,2023-01-04,PHI,H,IND,W
666,2023-01-04,TOR,H,MIL,L
667,2023-01-03,UTA,H,SAC,L
668,2023-01-03,OKC,H,BOS,W
669,2023-01-03,MIL,H,WAS,W
670,2023-01-02,PHI,H,NOP,W
