,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
45,Reggie Jackson,DEN,H,SAC,04/09/2023,W,25,119.2,78.8,40.4,21.1,4.0,25.0,0.0,11.5,6.1,6.3,72.7,72.7,18.5,99.11,19.1
46,Buddy Hield,IND,A,NYK,04/09/2023,W,24,141.5,107.5,34.0,19.0,4.0,36.4,5.0,20.0,13.3,9.1,125.0,125.0,12.5,108.33,17.3
47,Carlik Jones,CHI,H,DET,04/09/2023,W,12,133.3,63.0,70.4,33.3,0.0,27.3,0.0,8.3,4.2,0.0,58.3,70.9,27.6,108.0,27.7
48,Frank Ntilikina,DAL,H,SAS,04/09/2023,L,42,96.0,118.2,-22.2,9.1,1.5,16.7,0.0,3.9,1.8,11.1,50.0,47.0,13.9,114.72,2.2
49,Mamadi Diakite,CLE,H,CHA,04/09/2023,L,17,108.3,119.4,-11.1,33.3,3.0,30.0,0.0,15.4,6.9,10.0,75.0,75.0,18.9,100.85,12.8
50,Cole Swider,LAL,H,UTA,04/09/2023,W,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.82,0.0
51,Isaiah Mobley,CLE,H,CHA,04/09/2023,L,23,81.3,97.9,-16.6,15.4,0.0,22.2,3.4,13.0,7.7,0.0,0.0,14.5,13.2,99.27,-2.1
52,Jarrett Allen,CLE,H,CHA,04/09/2023,L,12,104.2,68.0,36.2,11.1,1.0,16.7,15.4,23.5,20.0,16.7,50.0,50.0,16.1,98.0,20.5
53,Anthony Davis,LAL,H,UTA,04/09/2023,W,34,121.3,111.0,10.4,11.1,0.75,13.0,7.9,31.3,18.6,17.4,46.7,50.4,23.3,104.61,12.3
54,Quentin Grimes,NYK,H,IND,04/09/2023,L,32,133.8,113.3,20.5,10.3,0.0,18.8,0.0,3.0,1.4,0.0,80.8,81.8,14.3,112.1,10.1
55,Robert Covington,LAC,A,PHX,04/09/2023,W,5,100.0,58.3,41.7,20.0,0.0,100.0,0.0,22.2,13.3,0.0,0.0,0.0,0.0,112.57,28.0
56,Ish Smith,DEN,H,SAC,04/09/2023,W,24,108.3,87.2,21.1,39.1,4.5,64.3,0.0,8.7,4.2,14.3,0.0,0.0,8.1,97.09,7.3
57,Miles McBride,NYK,H,IND,04/09/2023,L,12,103.4,144.8,-41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,62.5,11.8,113.42,1.5
58,Jaden Hardy,DAL,H,SAS,04/09/2023,L,28,120.0,125.8,-5.8,25.0,0.0,17.2,5.4,8.6,6.9,0.0,50.0,52.3,33.3,111.62,12.4
59,Kris Dunn,UTA,A,LAL,04/09/2023,L,40,108.8,123.3,-14.5,25.0,2.67,26.7,0.0,23.3,11.9,10.0,66.7,68.9,22.4,107.88,15.4
60,Neemias Queta,SAC,A,DEN,04/09/2023,L,4,100.0,100.0,0.0,0.0,0.0,0.0,20.0,33.3,25.0,0.0,0.0,0.0,9.1,97.53,6.7
61,Ricky Rubio,CLE,H,CHA,04/09/2023,L,26,90.9,89.1,1.8,41.2,2.33,31.8,3.1,12.1,7.7,13.6,18.2,25.3,23.1,100.0,5.3
62,Gary Payton II,GSW,A,POR,04/09/2023,W,20,140.0,104.5,35.5,18.2,0.0,50.0,12.5,25.0,20.0,0.0,50.0,50.0,8.2,105.05,12.6
63,Simone Fontecchio,UTA,A,LAL,04/09/2023,L,31,109.0,113.6,-4.7,8.7,0.0,10.0,5.6,20.6,12.9,0.0,55.6,55.6,23.7,102.14,12.1
64,Louis King,PHI,A,BKN,04/09/2023,W,29,125.8,120.6,5.2,9.1,1.0,11.8,6.7,7.4,7.0,11.8,76.9,74.4,20.5,104.17,10.7
65,Mikal Bridges,BKN,H,PHI,04/09/2023,L,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,100.0
66,JT Thor,CHA,A,CLE,04/09/2023,W,31,82.8,76.9,5.9,15.0,1.5,18.8,0.0,15.4,8.1,12.5,22.7,22.7,17.6,99.07,3.4
67,Kevon Looney,GSW,A,POR,04/09/2023,W,21,139.2,88.2,51.0,17.4,0.0,50.0,18.8,18.5,18.6,0.0,50.0,50.0,7.4,115.65,9.5
68,Nathan Knight,MIN,H,NOP,04/09/2023,W,2,80.0,83.3,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,50.0,50.0,50.0,132.55,-66.7
69,Thomas Bryant,DEN,H,SAC,04/09/2023,W,21,111.4,84.1,27.3,0.0,0.0,0.0,4.5,31.8,18.2,0.0,75.0,75.0,14.3,99.54,21.5
70,Orlando Robinson,MIA,H,ORL,04/09/2023,W,12,145.8,100.0,45.8,16.7,0.0,66.7,12.5,18.2,15.8,0.0,0.0,0.0,3.6,97.54,5.9
71,Kobi Simmons,CHA,A,CLE,04/09/2023,W,8,105.0,123.5,-18.5,42.9,0.0,75.0,11.1,12.5,11.8,0.0,0.0,0.0,4.3,109.18,8.1
72,Coby White,CHI,H,DET,04/09/2023,W,15,73.3,83.9,-10.5,14.3,1.0,16.7,0.0,12.5,6.3,16.7,62.5,62.5,13.2,99.7,16.4
73,Grant Williams,BOS,H,ATL,04/09/2023,W,6,100.0,158.3,-58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,13.3,101.69,2.6
