,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
191,Justin Holiday,DAL,2022-2023,39,43.58974358974359,15.512820512820513,4.538461538461538,0.29256198347107437,1.7179487179487178,4.384615384615385,39.1812865497076,1.1025641025641026,3.128205128205128,35.24590163934426,0.0,0.05128205128205128,0.0,0.10256410256410256,0.9743589743589743,1.0769230769230769,0.9230769230769231,0.41025641025641024,0.46153846153846156,0.5128205128205128,1.435897435897436,-117
192,Lamar Stevens,CLE,2022-2023,53,62.264150943396224,18.245283018867923,5.566037735849057,0.3050672182006205,2.188679245283019,4.679245283018868,46.774193548387096,0.49056603773584906,1.528301886792453,32.098765432098766,0.6981132075471698,0.9622641509433962,72.54901960784314,0.7735849056603774,2.4716981132075473,3.2452830188679247,0.5660377358490566,0.4339622641509434,0.2830188679245283,0.4528301886792453,1.2641509433962264,31
193,Isaac Okoro,CLE,2022-2023,73,61.64383561643836,21.876712328767123,6.506849315068493,0.2974326862867877,2.328767123287671,4.712328767123288,49.41860465116279,0.8082191780821918,2.26027397260274,35.75757575757576,1.0410958904109588,1.3835616438356164,75.24752475247524,0.7123287671232876,1.7808219178082192,2.493150684931507,1.1506849315068493,0.7534246575342466,0.410958904109589,0.5616438356164384,2.0547945205479454,111
194,P.J. Tucker,PHI,2022-2023,66,66.66666666666666,25.742424242424242,3.4393939393939394,0.13360800470865214,1.2272727272727273,2.893939393939394,42.40837696335078,0.696969696969697,1.7575757575757576,39.6551724137931,0.2878787878787879,0.3484848484848485,82.6086956521739,1.303030303030303,2.742424242424242,4.045454545454546,0.8181818181818182,0.5454545454545454,0.21212121212121213,0.6060606060606061,2.393939393939394,145
195,Keon Johnson,POR,2022-2023,37,35.13513513513514,9.18918918918919,3.864864864864865,0.42058823529411765,1.4054054054054055,3.918918918918919,35.86206896551724,0.5945945945945946,1.7837837837837838,33.33333333333333,0.4594594594594595,0.7567567567567568,60.71428571428571,0.24324324324324326,0.7837837837837838,1.027027027027027,1.135135135135135,0.40540540540540543,0.16216216216216217,0.918918918918919,1.0,-98
196,Evan Mobley,CLE,2022-2023,71,60.56338028169014,34.29577464788732,16.154929577464788,0.471047227926078,6.577464788732394,11.971830985915492,54.94117647058824,0.28169014084507044,1.3380281690140845,21.052631578947366,2.7183098591549295,3.9859154929577465,68.19787985865725,2.3380281690140845,6.591549295774648,8.929577464788732,2.732394366197183,0.7746478873239436,1.408450704225352,1.9577464788732395,2.859154929577465,267
197,Danny Green,CLE,2022-2023,9,55.55555555555556,9.777777777777779,3.0,0.3068181818181818,1.0,2.5555555555555554,39.130434782608695,0.8888888888888888,2.0,44.44444444444444,0.1111111111111111,0.1111111111111111,100.0,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.6666666666666666,1.1111111111111112,-24
198,Ryan Arcidiacono,POR,2022-2023,16,50.0,5.4375,1.0625,0.19540229885057472,0.375,1.0625,35.294117647058826,0.3125,0.625,50.0,0.0,0.0,,0.0,0.6875,0.6875,0.5625,0.1875,0.0,0.25,0.6875,-32
199,JD Davison,BOS,2022-2023,8,87.5,2.375,0.75,0.3157894736842105,0.375,1.375,27.27272727272727,0.0,0.375,0.0,0.0,0.0,,0.125,0.5,0.625,0.375,0.25,0.0,0.125,0.25,-8
200,Kristaps Porzingis,WAS,2022-2023,60,41.66666666666667,32.766666666666666,22.816666666666666,0.6963377416073245,7.566666666666666,15.5,48.817204301075265,2.066666666666667,5.516666666666667,37.46223564954683,5.616666666666666,6.633333333333334,84.67336683417085,1.8166666666666667,6.666666666666667,8.483333333333333,2.6,0.9,1.5666666666666667,2.1666666666666665,3.1166666666666667,55
201,Dean Wade,CLE,2022-2023,39,69.23076923076923,19.82051282051282,4.538461538461538,0.22897800776196636,1.5897435897435896,3.8974358974358974,40.78947368421053,0.9743589743589743,2.7948717948717947,34.862385321100916,0.38461538461538464,0.5897435897435898,65.21739130434783,0.41025641025641024,2.923076923076923,3.3333333333333335,0.8205128205128205,0.6153846153846154,0.46153846153846156,0.358974358974359,2.051282051282051,100
202,Boban Marjanovic,HOU,2022-2023,25,16.0,4.76,3.2,0.6722689075630253,1.24,1.8,68.88888888888889,0.0,0.04,0.0,0.72,0.96,75.0,0.52,1.16,1.68,0.2,0.16,0.04,0.32,0.2,45
203,Theo Pinson,DAL,2022-2023,37,48.64864864864865,6.675675675675675,1.7297297297297298,0.2591093117408907,0.5405405405405406,1.6486486486486487,32.78688524590164,0.40540540540540543,1.1891891891891893,34.090909090909086,0.24324324324324326,0.2972972972972973,81.81818181818183,0.21621621621621623,0.8918918918918919,1.1081081081081081,0.8108108108108109,0.10810810810810811,0.02702702702702703,0.24324324324324326,0.6486486486486487,-39
204,Patrick Baldwin Jr.,GSW,2022-2023,26,38.46153846153847,8.076923076923077,4.384615384615385,0.5428571428571428,1.5384615384615385,3.8461538461538463,40.0,1.1538461538461537,2.9615384615384617,38.961038961038966,0.15384615384615385,0.23076923076923078,66.66666666666666,0.038461538461538464,1.3461538461538463,1.3846153846153846,0.2692307692307692,0.23076923076923078,0.15384615384615385,0.4230769230769231,0.5384615384615384,-50
205,Duncan Robinson,MIA,2022-2023,35,45.714285714285715,16.6,6.3428571428571425,0.38209982788296043,2.085714285714286,5.685714285714286,36.68341708542713,1.5142857142857142,4.6,32.91925465838509,0.6571428571428571,0.7142857142857143,92.0,0.22857142857142856,1.5142857142857142,1.7428571428571429,1.1142857142857143,0.34285714285714286,0.0,0.6,1.8,-51
206,Dewayne Dedmon,PHI,2022-2023,33,60.60606060606061,11.06060606060606,5.424242424242424,0.4904109589041096,2.0606060606060606,4.03030303030303,51.127819548872175,0.3333333333333333,1.121212121212121,29.72972972972973,0.9696969696969697,1.393939393939394,69.56521739130434,0.8484848484848485,2.606060606060606,3.4545454545454546,0.5454545454545454,0.24242424242424243,0.42424242424242425,0.6060606060606061,1.9393939393939394,-99
207,Joe Wieskamp,TOR,2022-2023,5,60.0,6.2,1.8,0.2903225806451613,0.6,1.6,37.5,0.6,1.4,42.857142857142854,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.2,0.4,-7
208,Luka Garza,MIN,2022-2023,26,53.84615384615385,9.038461538461538,6.8076923076923075,0.7531914893617021,2.3461538461538463,4.269230769230769,54.95495495495496,0.5384615384615384,1.4615384615384615,36.84210526315789,1.5769230769230769,2.0,78.84615384615384,1.1923076923076923,1.1153846153846154,2.3076923076923075,0.6923076923076923,0.11538461538461539,0.07692307692307693,0.5,1.5769230769230769,24
209,Alex Len,SAC,2022-2023,18,66.66666666666666,3.1666666666666665,0.7222222222222222,0.22807017543859648,0.2777777777777778,0.6666666666666666,41.66666666666667,0.0,0.1111111111111111,0.0,0.16666666666666666,0.2222222222222222,75.0,0.2222222222222222,0.7222222222222222,0.9444444444444444,0.3333333333333333,0.0,0.0,0.5,0.6666666666666666,-25
210,Christian Koloko,TOR,2022-2023,49,48.97959183673469,14.0,3.2244897959183674,0.2303206997084548,1.2448979591836735,2.6122448979591835,47.65625,0.02040816326530612,0.1836734693877551,11.11111111111111,0.7142857142857143,1.0816326530612246,66.0377358490566,1.469387755102041,1.5918367346938775,3.061224489795918,0.46938775510204084,0.2857142857142857,1.0,0.3673469387755102,2.326530612244898,125
211,Xavier Cooks,WAS,2022-2023,1,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,8
212,Damian Jones,UTA,2022-2023,31,32.25806451612903,9.774193548387096,2.903225806451613,0.297029702970297,1.096774193548387,1.7741935483870968,61.81818181818181,0.0967741935483871,0.1935483870967742,50.0,0.6129032258064516,0.8064516129032258,76.0,0.8709677419354839,1.7419354838709677,2.6129032258064515,0.2903225806451613,0.12903225806451613,0.6129032258064516,0.45161290322580644,1.1935483870967742,-71
213,Jake LaRavia,MEM,2022-2023,33,66.66666666666666,11.818181818181818,3.0,0.25384615384615383,1.0606060606060606,2.757575757575758,38.46153846153847,0.6666666666666666,2.0303030303030303,32.83582089552239,0.21212121212121213,0.2727272727272727,77.77777777777779,0.5151515151515151,1.303030303030303,1.8181818181818181,0.6363636363636364,0.36363636363636365,0.12121212121212122,0.5454545454545454,1.4545454545454546,-79
214,Jaden Springer,PHI,2022-2023,10,100.0,4.0,1.9,0.475,0.8,1.6,50.0,0.0,0.2,0.0,0.3,0.4,75.0,0.5,0.4,0.9,0.4,0.5,0.2,0.1,0.9,-13
215,Matt Ryan,MIN,2022-2023,33,42.42424242424242,9.303030303030303,3.696969696969697,0.3973941368078176,1.2121212121212122,3.242424242424242,37.38317757009346,0.9696969696969697,2.515151515151515,38.55421686746988,0.30303030303030304,0.36363636363636365,83.33333333333334,0.12121212121212122,0.6666666666666666,0.7878787878787878,0.45454545454545453,0.15151515151515152,0.030303030303030304,0.21212121212121213,0.8181818181818182,27
216,Furkan Korkmaz,PHI,2022-2023,29,72.41379310344827,9.482758620689655,3.5517241379310347,0.37454545454545457,1.206896551724138,2.9310344827586206,41.17647058823529,0.4482758620689655,1.2758620689655173,35.13513513513514,0.6896551724137931,1.0344827586206897,66.66666666666666,0.20689655172413793,0.8275862068965517,1.0344827586206897,0.6551724137931034,0.20689655172413793,0.10344827586206896,0.6551724137931034,0.3448275862068966,-26
217,Delon Wright,WAS,2022-2023,42,54.761904761904766,24.023809523809526,6.738095238095238,0.2804757185332012,2.5,5.309523809523809,47.08520179372198,0.7857142857142857,2.2142857142857144,35.483870967741936,0.9523809523809523,1.0476190476190477,90.9090909090909,1.2380952380952381,2.0238095238095237,3.261904761904762,3.857142857142857,1.9761904761904763,0.35714285714285715,0.9047619047619048,1.2619047619047619,32
218,Taj Gibson,WAS,2022-2023,45,44.44444444444444,9.6,3.3333333333333335,0.3472222222222222,1.3333333333333333,2.4444444444444446,54.54545454545454,0.08888888888888889,0.4222222222222222,21.052631578947366,0.5777777777777777,0.8444444444444444,68.42105263157895,0.6666666666666666,1.288888888888889,1.9555555555555555,0.7111111111111111,0.3111111111111111,0.24444444444444444,0.4888888888888889,1.7333333333333334,24
219,Kennedy Chandler,MEM,2022-2023,31,64.51612903225806,7.967741935483871,2.129032258064516,0.26720647773279355,0.9354838709677419,2.2903225806451615,40.845070422535215,0.06451612903225806,0.45161290322580644,14.285714285714285,0.1935483870967742,0.41935483870967744,46.15384615384615,0.22580645161290322,0.8064516129032258,1.032258064516129,1.6451612903225807,0.3548387096774194,0.16129032258064516,0.5161290322580645,0.41935483870967744,-56
