,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plusminus
433,Jaylen Brown,BOS,2022-2023,61,67.21311475409836,36.19672131147541,26.737704918032787,0.738677536231884,10.032786885245901,20.39344262295082,49.19614147909968,2.5245901639344264,7.344262295081967,34.375,4.147540983606557,5.360655737704918,77.37003058103976,1.2131147540983607,5.639344262295082,6.852459016393443,3.3934426229508197,1.1639344262295082,0.4262295081967213,2.901639344262295,2.6721311475409837,213
434,Eric Gordon,LAC,2022-2023,61,31.147540983606557,29.24590163934426,12.524590163934427,0.4282511210762332,4.278688524590164,9.655737704918034,44.312393887945674,1.8360655737704918,5.081967213114754,36.12903225806451,2.1311475409836067,2.622950819672131,81.25,0.2459016393442623,1.721311475409836,1.9672131147540983,2.7540983606557377,0.639344262295082,0.39344262295081966,1.5245901639344261,1.1475409836065573,-203
435,Paul George,LAC,2022-2023,56,57.14285714285714,34.67857142857143,23.785714285714285,0.685890834191555,8.196428571428571,17.928571428571427,45.71713147410358,2.8214285714285716,7.607142857142857,37.08920187793427,4.571428571428571,5.25,87.07482993197279,0.8035714285714286,5.303571428571429,6.107142857142857,5.142857142857143,1.4821428571428572,0.35714285714285715,3.142857142857143,2.8392857142857144,157
436,Jared Rhoden,DET,2022-2023,7,14.285714285714285,9.285714285714286,2.142857142857143,0.23076923076923078,0.8571428571428571,2.2857142857142856,37.5,0.14285714285714285,1.0,14.285714285714285,0.2857142857142857,0.2857142857142857,100.0,1.0,1.0,2.0,0.2857142857142857,0.2857142857142857,0.0,0.0,1.0,17
437,Deni Avdija,WAS,2022-2023,70,44.285714285714285,25.97142857142857,8.642857142857142,0.3327832783278328,3.085714285714286,7.214285714285714,42.772277227722775,0.8714285714285714,2.942857142857143,29.61165048543689,1.6,2.1142857142857143,75.67567567567568,1.0142857142857142,5.271428571428571,6.285714285714286,2.5428571428571427,0.8428571428571429,0.4,1.4428571428571428,2.757142857142857,-40
438,Nicolas Batum,LAC,2022-2023,69,55.072463768115945,21.71014492753623,5.927536231884058,0.27303070761014686,2.0,4.840579710144928,41.31736526946108,1.4927536231884058,3.9420289855072466,37.86764705882353,0.43478260869565216,0.6376811594202898,68.18181818181817,0.855072463768116,3.1159420289855073,3.971014492753623,1.4782608695652173,0.6521739130434783,0.5942028985507246,0.6666666666666666,1.9710144927536233,100
439,Gary Harris,ORL,2022-2023,42,42.857142857142854,25.071428571428573,8.666666666666666,0.345679012345679,3.0,6.523809523809524,45.98540145985402,2.0238095238095237,4.595238095238095,44.04145077720207,0.6428571428571429,0.7142857142857143,90.0,0.4523809523809524,1.5952380952380953,2.0476190476190474,1.1904761904761905,1.0,0.23809523809523808,0.6428571428571429,1.9047619047619047,-51
440,Dyson Daniels,NOP,2022-2023,50,52.0,18.56,3.9,0.2101293103448276,1.5,3.58,41.899441340782126,0.44,1.48,29.72972972972973,0.46,0.74,62.16216216216216,0.6,2.66,3.26,2.44,0.76,0.22,1.04,1.8,-5
441,Paolo Banchero,ORL,2022-2023,66,40.909090909090914,33.93939393939394,19.954545454545453,0.5879464285714285,6.666666666666667,15.636363636363637,42.63565891472868,1.121212121212121,3.9696969696969697,28.24427480916031,5.5,7.378787878787879,74.53798767967146,1.1363636363636365,5.53030303030303,6.666666666666667,3.6818181818181817,0.8636363636363636,0.5,2.727272727272727,2.242424242424242,-213
442,Gorgui Dieng,SAS,2022-2023,25,8.0,10.08,3.0,0.2976190476190476,1.16,3.24,35.80246913580247,0.48,2.08,23.076923076923077,0.2,0.24,83.33333333333334,0.92,1.8,2.72,1.4,0.16,0.4,0.8,1.6,-91
443,Jonas Valanciunas,NOP,2022-2023,69,47.82608695652174,24.681159420289855,14.246376811594203,0.5772166764533176,5.6521739130434785,10.231884057971014,55.240793201133144,0.5072463768115942,1.4492753623188406,35.0,2.4347826086956523,2.9420289855072466,82.75862068965517,2.7681159420289854,7.0,9.768115942028986,1.6956521739130435,0.2463768115942029,0.5797101449275363,1.9710144927536233,3.028985507246377,-87
444,Isaac Okoro,CLE,2022-2023,74,62.16216216216216,21.85135135135135,6.418918918918919,0.2937538651824366,2.2972972972972974,4.702702702702703,48.85057471264368,0.7972972972972973,2.2567567567567566,35.32934131736527,1.027027027027027,1.364864864864865,75.24752475247524,0.7027027027027027,1.7972972972972974,2.5,1.162162162162162,0.7567567567567568,0.40540540540540543,0.5540540540540541,2.081081081081081,125
445,Jalen Williams,OKC,2022-2023,66,50.0,29.90909090909091,13.575757575757576,0.45390070921985815,5.318181818181818,10.257575757575758,51.8463810930576,0.9545454545454546,2.742424242424242,34.806629834254146,1.9848484848484849,2.515151515151515,78.91566265060241,1.0909090909090908,3.4393939393939394,4.53030303030303,3.227272727272727,1.3636363636363635,0.5151515151515151,1.606060606060606,2.5303030303030303,-27
446,Mikal Bridges,BKN,2022-2023,73,49.31506849315068,36.013698630136986,19.136986301369863,0.5313807531380753,6.890410958904109,14.616438356164384,47.1415182755389,1.9726027397260273,5.027397260273973,39.23705722070845,3.3835616438356166,3.780821917808219,89.4927536231884,0.9726027397260274,3.3972602739726026,4.36986301369863,3.328767123287671,1.095890410958904,0.7808219178082192,1.4794520547945205,1.9726027397260273,-52
447,Day'Ron Sharpe,BKN,2022-2023,38,42.10526315789473,11.368421052631579,4.552631578947368,0.40046296296296297,1.894736842105263,3.5789473684210527,52.94117647058824,0.15789473684210525,0.2631578947368421,60.0,0.6052631578947368,0.9473684210526315,63.888888888888886,1.894736842105263,2.1315789473684212,4.026315789473684,0.7631578947368421,0.2631578947368421,0.631578947368421,0.9736842105263158,1.9736842105263157,-59
448,Bogdan Bogdanovic,ATL,2022-2023,46,50.0,28.26086956521739,14.152173913043478,0.5007692307692307,5.086956521739131,11.58695652173913,43.90243902439025,2.739130434782609,6.739130434782608,40.64516129032258,1.2391304347826086,1.5217391304347827,81.42857142857143,0.391304347826087,2.717391304347826,3.108695652173913,2.8260869565217392,0.8043478260869565,0.34782608695652173,1.2608695652173914,1.673913043478261,40
449,Sandro Mamukelashvili,SAS,2022-2023,33,60.60606060606061,12.06060606060606,4.121212121212121,0.3417085427135678,1.3636363636363635,3.757575757575758,36.29032258064516,0.6060606060606061,1.9393939393939394,31.25,0.7878787878787878,1.1515151515151516,68.42105263157895,1.2424242424242424,2.1515151515151514,3.393939393939394,1.0,0.2727272727272727,0.21212121212121213,0.5454545454545454,1.1818181818181819,-78
450,De'Aaron Fox,SAC,2022-2023,65,61.53846153846154,34.0,25.353846153846153,0.7457013574660634,9.446153846153846,18.29230769230769,51.64003364171573,1.6923076923076923,4.953846153846154,34.161490683229815,4.769230769230769,6.2,76.92307692307693,0.5076923076923077,3.707692307692308,4.2153846153846155,6.123076923076923,1.1846153846153846,0.3076923076923077,2.5846153846153848,2.4615384615384617,100
451,Vit Krejci,ATL,2022-2023,24,50.0,5.333333333333333,1.3333333333333333,0.25,0.5416666666666666,1.2916666666666667,41.935483870967744,0.20833333333333334,0.75,27.77777777777778,0.041666666666666664,0.08333333333333333,50.0,0.08333333333333333,0.5416666666666666,0.625,0.5,0.125,0.041666666666666664,0.16666666666666666,0.5,-8
452,Josh Giddey,OKC,2022-2023,67,46.26865671641791,30.895522388059703,16.119402985074625,0.5217391304347826,6.940298507462686,14.35820895522388,48.33679833679834,0.9253731343283582,2.8805970149253732,32.12435233160622,1.3134328358208955,1.7462686567164178,75.21367521367522,1.9850746268656716,5.82089552238806,7.8059701492537314,6.134328358208955,0.7611940298507462,0.40298507462686567,2.8955223880597014,1.955223880597015,-108
453,PJ Dozier,SAC,2022-2023,10,80.0,2.3,0.7,0.30434782608695654,0.3,1.0,30.0,0.1,0.5,20.0,0.0,0.0,,0.0,0.6,0.6,0.0,0.3,0.1,0.2,0.2,-10
454,Onyeka Okongwu,ATL,2022-2023,70,51.42857142857142,23.47142857142857,9.542857142857143,0.4065733414485697,3.9,6.114285714285714,63.78504672897196,0.02857142857142857,0.1,28.57142857142857,1.7142857142857142,2.2857142857142856,75.0,2.757142857142857,4.485714285714286,7.242857142857143,1.0142857142857142,0.7142857142857143,1.2714285714285714,0.9857142857142858,3.1714285714285713,24
455,Lindy Waters III,OKC,2022-2023,35,51.42857142857142,12.457142857142857,5.057142857142857,0.4059633027522936,1.6285714285714286,4.114285714285714,39.58333333333333,1.3714285714285714,3.742857142857143,36.6412213740458,0.42857142857142855,0.5142857142857142,83.33333333333334,0.2857142857142857,1.457142857142857,1.7428571428571429,0.6857142857142857,0.34285714285714286,0.2571428571428571,0.2857142857142857,0.9714285714285714,131
456,Trey Murphy III,NOP,2022-2023,69,46.3768115942029,30.130434782608695,13.44927536231884,0.44636844636844636,4.608695652173913,9.695652173913043,47.53363228699551,2.3768115942028984,6.0,39.61352657004831,1.855072463768116,2.0434782608695654,90.78014184397163,0.7971014492753623,2.898550724637681,3.6956521739130435,1.3623188405797102,1.0144927536231885,0.5362318840579711,0.782608695652174,1.9420289855072463,-29
457,Kevon Harris,ORL,2022-2023,31,38.70967741935484,12.419354838709678,3.2580645161290325,0.2623376623376623,1.096774193548387,2.6774193548387095,40.963855421686745,0.3548387096774194,0.967741935483871,36.666666666666664,0.7096774193548387,0.8709677419354839,81.48148148148148,0.8064516129032258,1.096774193548387,1.903225806451613,0.41935483870967744,0.5161290322580645,0.12903225806451613,0.5161290322580645,1.4193548387096775,14
458,Cedi Osman,CLE,2022-2023,69,62.31884057971014,20.666666666666668,8.840579710144928,0.4277699859747546,3.1884057971014492,7.0,45.54865424430642,1.5072463768115942,4.086956521739131,36.87943262411347,0.9565217391304348,1.391304347826087,68.75,0.3333333333333333,1.9855072463768115,2.318840579710145,1.536231884057971,0.4782608695652174,0.13043478260869565,0.6811594202898551,1.5797101449275361,230
459,Johnny Davis,WAS,2022-2023,18,38.88888888888889,6.833333333333333,2.0555555555555554,0.3008130081300813,0.8888888888888888,2.1666666666666665,41.02564102564102,0.05555555555555555,0.5,11.11111111111111,0.2222222222222222,0.3888888888888889,57.14285714285714,0.1111111111111111,0.8333333333333334,0.9444444444444444,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.2222222222222222,1.0,-47
460,De'Andre Hunter,ATL,2022-2023,62,54.83870967741935,31.903225806451612,15.5,0.4858442871587462,5.645161290322581,12.225806451612904,46.17414248021108,1.532258064516129,4.290322580645161,35.714285714285715,2.6774193548387095,3.2580645161290325,82.17821782178217,0.6612903225806451,3.564516129032258,4.225806451612903,1.435483870967742,0.5161290322580645,0.27419354838709675,1.2419354838709677,2.9516129032258065,-4
461,Luke Kornet,BOS,2022-2023,60,63.33333333333333,11.65,3.816666666666667,0.32761087267525035,1.6333333333333333,2.3833333333333333,68.53146853146853,0.05,0.16666666666666666,30.0,0.5,0.6166666666666667,81.08108108108108,1.3,1.5833333333333333,2.8833333333333333,0.7,0.16666666666666666,0.7166666666666667,0.4,1.2333333333333334,55
462,Caleb Houstan,ORL,2022-2023,43,37.2093023255814,15.046511627906977,3.558139534883721,0.23647604327666152,1.2325581395348837,3.186046511627907,38.68613138686132,0.8372093023255814,2.302325581395349,36.36363636363637,0.2558139534883721,0.3023255813953488,84.61538461538461,0.6511627906976745,1.372093023255814,2.0232558139534884,0.46511627906976744,0.18604651162790697,0.06976744186046512,0.3023255813953488,1.3953488372093024,-55
463,Robert Covington,LAC,2022-2023,40,37.5,16.275,5.725,0.35176651305683565,2.025,4.95,40.909090909090914,1.0,2.95,33.89830508474576,0.675,0.9,75.0,0.675,2.85,3.525,1.2,0.775,0.725,0.575,1.875,2
464,Keon Ellis,SAC,2022-2023,13,46.15384615384615,3.769230769230769,1.6923076923076923,0.4489795918367347,0.5384615384615384,1.0,53.84615384615385,0.46153846153846156,0.7692307692307693,60.0,0.15384615384615385,0.23076923076923078,66.66666666666666,0.3076923076923077,0.3076923076923077,0.6153846153846154,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.6923076923076923,-14
465,Romeo Langford,SAS,2022-2023,37,29.72972972972973,20.243243243243242,7.1891891891891895,0.35514018691588783,2.972972972972973,6.216216216216216,47.82608695652174,0.3783783783783784,1.4054054054054055,26.923076923076923,0.8648648648648649,1.2702702702702702,68.08510638297872,1.4324324324324325,1.3513513513513513,2.7837837837837838,1.2432432432432432,0.5135135135135135,0.35135135135135137,0.6486486486486487,1.7027027027027026,-145
466,Jaxson Hayes,NOP,2022-2023,44,45.45454545454545,13.590909090909092,5.25,0.3862876254180602,1.9318181818181819,3.4545454545454546,55.92105263157895,0.06818181818181818,0.6136363636363636,11.11111111111111,1.3181818181818181,1.8863636363636365,69.87951807228916,0.8863636363636364,2.0454545454545454,2.9318181818181817,0.7727272727272727,0.45454545454545453,0.4318181818181818,0.6818181818181818,1.5227272727272727,-75
