,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus,PIE,SIE
415,Wendell Carter Jr.,ORL,2022-2023,33,39.39393939393939,30.060606060606062,14.969696969696969,0.4979838709677419,5.515151515151516,10.666666666666666,51.70454545454546,1.181818181818182,3.4545454545454546,34.21052631578947,2.757575757575758,3.606060606060606,76.47058823529412,2.090909090909091,6.636363636363637,8.727272727272727,2.636363636363636,2.1818181818181817,1.2083333333333333,0.3636363636363636,0.6363636363636364,0.5724431818181818,0.6108418241171233,109.911569416499,111.31720321931589,-1.4056338028168938,3.0,-41,12.582997987927564,1.1055440934211636
416,Malaki Branham,SAS,2022-2023,38,21.052631578947366,20.13157894736842,7.526315789473684,0.3738562091503268,2.9473684210526314,6.921052631578948,42.58555133079848,0.9473684210526316,3.263157894736842,29.03225806451613,0.6842105263157895,0.868421052631579,78.78787878787878,0.2631578947368421,1.4736842105263157,1.736842105263158,1.8157894736842104,0.9736842105263158,1.864864864864865,0.4736842105263157,0.1052631578947368,0.494296577946768,0.5152781781493226,108.42297650130548,121.04255874673628,-12.619582245430806,1.394736842105263,-199,4.783289817232376,0.9141885395993448
417,Jonathan Kuminga,GSW,2022-2023,39,56.41025641025641,19.0,8.23076923076923,0.4331983805668016,3.1538461538461537,6.384615384615385,49.39759036144578,0.6153846153846154,1.948717948717949,31.57894736842105,1.3076923076923077,2.0,65.38461538461539,1.0,2.102564102564102,3.102564102564102,1.7435897435897436,1.435897435897436,1.2142857142857142,0.4615384615384615,0.4615384615384615,0.5421686746987951,0.5664972469292673,107.48061911170925,112.45666218034992,-4.976043068640678,2.435897435897436,-77,6.295020188425304,0.9601622877475724
418,Markelle Fultz,ORL,2022-2023,31,48.38709677419355,28.193548387096776,12.258064516129032,0.4347826086956521,5.064516129032258,10.225806451612904,49.52681388012618,0.4193548387096774,1.2580645161290325,33.33333333333333,1.7096774193548387,2.3548387096774195,72.6027397260274,1.032258064516129,2.7096774193548385,3.741935483870968,5.612903225806452,2.3548387096774195,2.3835616438356166,1.4516129032258065,0.3870967741935484,0.5157728706624606,0.5442254812098992,108.55812356979403,114.85057208237988,-6.292448512585835,1.967741935483871,-111,10.083180778032036,1.0269032329626484
419,AJ Griffin,ATL,2022-2023,48,45.83333333333333,20.729166666666668,9.645833333333334,0.4653266331658292,3.7708333333333335,7.729166666666667,48.78706199460917,1.6458333333333333,4.0,41.14583333333333,0.4583333333333333,0.5,91.66666666666666,0.4583333333333333,1.6666666666666667,2.125,1.0416666666666667,0.6458333333333334,1.6129032258064515,0.7916666666666666,0.125,0.5943396226415094,0.6067197819477933,111.06043956043956,111.69440559440557,-0.6339660339660185,1.2083333333333333,2,8.57262737262737,1.047198760297192
420,Paolo Banchero,ORL,2022-2023,45,37.77777777777778,33.77777777777778,20.488888888888887,0.6065789473684211,6.644444444444445,15.488888888888887,42.89813486370158,1.3333333333333333,4.355555555555555,30.612244897959183,5.866666666666666,7.733333333333333,75.86206896551724,1.0444444444444445,5.422222222222223,6.466666666666667,3.644444444444445,2.7777777777777777,1.312,1.022222222222222,0.4888888888888889,0.4720229555236729,0.542276384510422,109.5993429697766,114.4370565045992,-4.837713534822598,2.333333333333333,-157,11.516097240473064,1.2673382889355653
421,Day'Ron Sharpe,BKN,2022-2023,26,53.84615384615385,9.884615384615383,3.8846153846153846,0.3929961089494163,1.5769230769230769,3.0,52.56410256410257,0.1538461538461538,0.1923076923076923,80.0,0.5769230769230769,0.8846153846153846,65.21739130434783,1.5384615384615383,2.076923076923077,3.615384615384616,0.7307692307692307,0.7692307692307693,0.95,0.1923076923076923,0.5769230769230769,0.5512820512820513,0.5730821606899682,107.26926070038913,117.69299610894944,-10.42373540856032,1.7307692307692308,-55,9.068093385214008,0.7480277433333848
422,Franz Wagner,ORL,2022-2023,51,37.25490196078432,33.21568627450981,19.764705882352946,0.5950413223140496,7.196078431372549,14.705882352941176,48.93333333333334,1.6862745098039216,4.607843137254902,36.59574468085106,3.686274509803922,4.392156862745098,83.92857142857143,0.9411764705882352,3.07843137254902,4.019607843137255,3.4705882352941178,2.0980392156862746,1.6542056074766356,0.9215686274509804,0.196078431372549,0.5466666666666666,0.5939473932308853,111.6535335689046,110.93427561837456,0.71925795053005,2.215686274509804,18,11.425618374558304,1.2924459285862135
423,Santi Aldama,MEM,2022-2023,48,60.41666666666666,21.75,9.104166666666666,0.4185823754789272,3.25,6.708333333333333,48.4472049689441,1.2708333333333333,3.458333333333333,36.74698795180723,1.3333333333333333,1.875,71.11111111111111,1.0625,3.5,4.5625,1.1875,0.6458333333333334,1.8387096774193548,0.6666666666666666,0.6875,0.5791925465838509,0.6042588495575221,112.01856459330142,110.322009569378,1.696555023923409,1.9583333333333333,40,9.465645933014356,1.0355284255656796
424,Derrick White,BOS,2022-2023,52,71.15384615384616,26.53846153846154,10.365384615384617,0.3905797101449275,3.519230769230769,7.923076923076923,44.41747572815535,1.5769230769230769,4.230769230769231,37.27272727272727,1.75,2.0384615384615383,85.84905660377359,0.5576923076923077,2.6346153846153846,3.1923076923076925,3.4615384615384617,1.0,3.4615384615384617,0.7307692307692307,0.9230769230769232,0.5436893203883495,0.5876068376068376,118.1076755973932,107.845981173063,10.261694424330187,2.2115384615384617,260,8.522302679217958,1.1038106299917079
425,Patty Mills,BKN,2022-2023,31,51.61290322580645,12.903225806451612,6.0,0.465,2.096774193548387,4.612903225806452,45.45454545454545,1.2258064516129032,3.129032258064516,39.175257731958766,0.5806451612903226,0.6451612903225806,90.0,0.1935483870967742,0.7096774193548387,0.9032258064516128,1.3870967741935485,0.5483870967741935,2.5294117647058822,0.3870967741935484,0.032258064516129,0.5874125874125874,0.6126482213438734,112.9765,116.294,-3.317500000000024,0.6129032258064516,-18,7.639499999999999,0.8554708986723032
426,Malcolm Brogdon,BOS,2022-2023,44,70.45454545454545,24.90909090909091,14.409090909090908,0.5784671532846716,4.977272727272728,10.409090909090908,47.81659388646288,1.9772727272727275,4.386363636363637,45.07772020725388,2.477272727272727,2.8181818181818183,87.90322580645162,0.75,3.522727272727273,4.2727272727272725,3.727272727272727,1.5454545454545454,2.411764705882353,0.6136363636363636,0.2727272727272727,0.5731441048034934,0.6184641798033401,115.65059144676977,110.71000909918104,4.940582347588702,1.4772727272727273,121,13.221838034576889,1.1471319016296213
427,Taurean Prince,MIN,2022-2023,30,60.0,21.03333333333333,8.533333333333333,0.4057052297939778,3.1333333333333333,6.333333333333333,49.47368421052632,1.3666666666666667,3.3666666666666667,40.5940594059406,0.9,1.1,81.81818181818183,0.3,2.066666666666667,2.3666666666666667,1.3333333333333333,1.1,1.2121212121212122,0.4333333333333333,0.3333333333333333,0.6026315789473684,0.6258556620379425,111.86250000000004,110.71218354430376,1.150316455696256,2.433333333333333,-6,6.525316455696202,0.9278739551734567
