,Name,Team,Season,GP,Win%,Mins,Points,PPM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,AST/TO,STL,BLK,EFG%,TS%,OFFRTG,DEFRTG,NETRTG,PF,Plusminus
423,RJ Barrett,NYK,2022-2023,69,55.072463768115945,33.94202898550725,19.695652173913043,0.5802732707087959,6.9855072463768115,16.014492753623188,43.619909502262445,1.681159420289855,5.2898550724637685,31.780821917808222,4.043478260869565,5.420289855072464,74.59893048128342,0.8260869565217391,4.202898550724638,5.028985507246377,2.7681159420289854,2.2753623188405796,1.21656050955414,0.43478260869565216,0.18840579710144928,0.48868778280542985,0.5352248022937081,115.13890072432892,116.66646783127399,-1.527567106945071,2.4347826086956523,-63
424,CJ McCollum,NOP,2022-2023,68,50.0,35.01470588235294,20.91176470588235,0.5972280554388912,7.823529411764706,17.941176470588236,43.606557377049185,2.8088235294117645,7.294117647058823,38.50806451612903,2.4558823529411766,3.1176470588235294,78.77358490566037,0.7941176470588235,3.6323529411764706,4.426470588235294,5.9411764705882355,2.5,2.376470588235294,0.9411764705882353,0.5441176470588235,0.514344262295082,0.5413925438596492,114.48325639949644,113.3673101133026,1.1159462861938465,2.0,48
425,Eric Gordon,LAC,2022-2023,64,32.8125,29.03125,12.640625,0.4354144241119483,4.3125,9.609375,44.87804878048781,1.90625,5.109375,37.308868501529055,2.109375,2.59375,81.32530120481928,0.25,1.71875,1.96875,2.71875,1.515625,1.7938144329896908,0.625,0.375,0.5479674796747968,0.5879018661705715,110.35281803542676,116.41470746108425,-6.061889425657483,1.171875,-211
426,Quentin Grimes,NYK,2022-2023,65,56.92307692307692,29.2,10.2,0.3493150684931507,3.6,7.923076923076923,45.43689320388349,1.9846153846153847,5.323076923076923,37.283236994219656,1.0153846153846153,1.2769230769230768,79.51807228915662,0.6923076923076923,2.4923076923076923,3.1846153846153844,1.9846153846153847,0.9692307692307692,2.0476190476190474,0.6307692307692307,0.4,0.579611650485437,0.6010661444734552,117.78297425118232,113.99322122963743,3.7897530215448967,2.476923076923077,144
427,Marvin Bagley III,DET,2022-2023,37,16.216216216216218,23.83783783783784,12.08108108108108,0.5068027210884354,4.918918918918919,9.162162162162161,53.687315634218294,0.40540540540540543,1.5135135135135136,26.785714285714285,1.837837837837838,2.4864864864864864,73.91304347826086,2.4864864864864864,4.27027027027027,6.756756756756757,0.8378378378378378,1.0810810810810811,0.775,0.4864864864864865,0.7567567567567568,0.5589970501474927,0.5889638452619373,107.50022598870059,118.4432768361582,-10.943050847457613,2.027027027027027,-215
428,Rudy Gobert,MIN,2022-2023,64,48.4375,30.765625,13.8125,0.4489588623666836,5.25,7.9375,66.14173228346458,0.0,0.046875,0.0,3.3125,5.125,64.63414634146342,3.28125,8.359375,11.640625,1.15625,1.734375,0.6666666666666666,0.796875,1.40625,0.6614173228346457,0.6775815550649988,110.99600202429149,110.12231781376518,0.8736842105263065,3.03125,10
429,Kenyon Martin Jr.,HOU,2022-2023,76,23.684210526315788,27.82894736842105,12.631578947368421,0.45390070921985815,4.9868421052631575,8.723684210526315,57.16440422322775,0.8421052631578947,2.6973684210526314,31.21951219512195,1.8157894736842106,2.6710526315789473,67.98029556650246,1.5263157894736843,4.0,5.526315789473684,1.513157894736842,1.1710526315789473,1.2921348314606742,0.5131578947368421,0.3684210526315789,0.6199095022624435,0.6380263717566992,110.29976403964135,119.41727229825388,-9.117508258612531,1.7894736842105263,-376
430,De'Aaron Fox,SAC,2022-2023,67,61.19402985074627,33.82089552238806,25.313432835820894,0.7484554280670785,9.417910447761194,18.26865671641791,51.55228758169934,1.671641791044776,4.985074626865671,33.532934131736525,4.8059701492537314,6.223880597014926,77.21822541966426,0.5074626865671642,3.656716417910448,4.164179104477612,6.059701492537314,2.5522388059701493,2.374269005847953,1.1492537313432836,0.3283582089552239,0.5612745098039216,0.6024952397192145,119.3740953221536,117.59633715798765,1.7777581641659452,2.4477611940298507,102
431,Jaden McDaniels,MIN,2022-2023,73,52.054794520547944,30.73972602739726,12.205479452054794,0.39705882352941174,4.712328767123288,9.10958904109589,51.72932330827068,1.3287671232876712,3.3972602739726026,39.11290322580645,1.452054794520548,1.9589041095890412,74.12587412587412,1.2328767123287672,2.671232876712329,3.904109589041096,1.9589041095890412,1.3835616438356164,1.4158415841584158,0.9041095890410958,0.958904109589041,0.5902255639097744,0.6120178041543027,114.09915405164737,111.86674087266255,2.232413178984828,3.5205479452054793,66
432,Domantas Sabonis,SAC,2022-2023,73,60.273972602739725,34.945205479452056,19.17808219178082,0.5488043904351235,7.301369863013699,11.95890410958904,61.05383734249714,0.3835616438356164,1.082191780821918,35.44303797468354,4.191780821917808,5.506849315068493,76.11940298507463,3.191780821917808,9.26027397260274,12.452054794520548,7.232876712328767,2.9178082191780823,2.4788732394366195,0.821917808219178,0.4931506849315068,0.6265750286368843,0.6667428658513354,120.54052466718875,116.44671104150353,4.093813625685215,3.6027397260273974,205
433,Anthony Edwards,MIN,2022-2023,73,50.68493150684932,36.10958904109589,24.45205479452055,0.6771623672230652,8.863013698630137,19.301369863013697,45.91909155429382,2.684931506849315,7.273972602739726,36.91148775894539,4.041095890410959,5.315068493150685,76.03092783505154,0.5616438356164384,5.273972602739726,5.835616438356165,4.4520547945205475,3.3013698630136985,1.3485477178423237,1.5753424657534247,0.6986301369863014,0.5287437899219305,0.5649735396146153,114.11565579984841,112.20166793025018,1.9139878695982304,2.4246575342465753,89
434,Bobby Portis,MIL,2022-2023,64,67.1875,25.90625,13.796875,0.5325693606755126,5.609375,11.3125,49.58563535911602,1.203125,3.515625,34.22222222222222,1.375,1.75,78.57142857142857,2.21875,7.34375,9.5625,1.5625,1.140625,1.36986301369863,0.40625,0.234375,0.5490331491712708,0.5709445478998552,111.57301204819272,111.01674698795183,0.5562650602408894,1.625,48
435,Naz Reid,MIN,2022-2023,67,47.76119402985074,18.328358208955223,11.432835820895523,0.6237785016286646,4.552238805970149,8.417910447761194,54.07801418439716,1.0895522388059702,3.1791044776119404,34.27230046948357,1.2388059701492538,1.8208955223880596,68.0327868852459,1.0746268656716418,3.8059701492537314,4.880597014925373,1.1194029850746268,1.3582089552238805,0.8241758241758241,0.6268656716417911,0.7761194029850746,0.6054964539007093,0.6200621681129388,109.72534412955464,113.41692307692311,-3.6915789473684697,2.611940298507463,-124
436,Nicolas Batum,LAC,2022-2023,72,55.55555555555556,21.77777777777778,6.361111111111111,0.29209183673469385,2.138888888888889,4.944444444444445,43.258426966292134,1.6527777777777777,4.083333333333333,40.476190476190474,0.4305555555555556,0.625,68.88888888888889,0.8194444444444444,3.0694444444444446,3.888888888888889,1.5416666666666667,0.6666666666666666,2.3125,0.6944444444444444,0.5694444444444444,0.5997191011235955,0.6093666844065992,114.22146496815286,109.53624203821657,4.6852229299362875,1.9305555555555556,150
437,Jevon Carter,MIL,2022-2023,75,72.0,22.213333333333335,8.053333333333333,0.3625450180072029,2.973333333333333,6.96,42.72030651340996,1.72,4.066666666666666,42.295081967213115,0.38666666666666666,0.48,80.55555555555556,0.4533333333333333,2.08,2.533333333333333,2.3733333333333335,0.9866666666666667,2.4054054054054053,0.8533333333333334,0.37333333333333335,0.5507662835249042,0.5615052803807824,109.27553827751194,106.30681818181819,2.9687200956937545,2.0,90
438,Luka Doncic,DAL,2022-2023,61,52.459016393442624,36.24590163934426,32.91803278688525,0.9081863410221619,11.01639344262295,22.18032786885246,49.667405764966745,2.8360655737704916,8.163934426229508,34.738955823293175,8.049180327868852,10.885245901639344,73.94578313253012,0.8524590163934426,7.786885245901639,8.639344262295081,8.147540983606557,3.6557377049180326,2.2286995515695067,1.4262295081967213,0.5081967213114754,0.5606060606060606,0.6102749884509713,118.12235772357721,115.92619692863593,2.196160794941278,2.5081967213114753,125
