,Test Size,N Estimators,Accuracy
194,0.31,1430.0,0.6558441558441559
195,0.31,1440.0,0.6590909090909091
196,0.31,1450.0,0.6590909090909091
197,0.31,1460.0,0.6558441558441559
198,0.31,1470.0,0.6590909090909091
199,0.31,1480.0,0.6590909090909091
200,0.31,1490.0,0.6590909090909091
201,0.31,1500.0,0.6590909090909091
202,0.32,500.0,0.6477987421383647
203,0.32,510.0,0.6477987421383647
204,0.32,520.0,0.6477987421383647
205,0.32,530.0,0.6446540880503144
206,0.32,540.0,0.6446540880503144
207,0.32,550.0,0.6415094339622641
208,0.32,560.0,0.6415094339622641
209,0.32,570.0,0.6383647798742138
210,0.32,580.0,0.6415094339622641
211,0.32,590.0,0.6383647798742138
212,0.32,600.0,0.6446540880503144
213,0.32,610.0,0.6415094339622641
214,0.32,620.0,0.6415094339622641
215,0.32,630.0,0.6415094339622641
216,0.32,640.0,0.6415094339622641
217,0.32,650.0,0.6383647798742138
218,0.32,660.0,0.6415094339622641
219,0.32,670.0,0.6415094339622641
220,0.32,680.0,0.6383647798742138
221,0.32,690.0,0.6383647798742138
222,0.32,700.0,0.6415094339622641
223,0.32,710.0,0.6415094339622641
224,0.32,720.0,0.6415094339622641
225,0.32,730.0,0.6446540880503144
226,0.32,740.0,0.6383647798742138
227,0.32,750.0,0.6383647798742138
228,0.32,760.0,0.6383647798742138
229,0.32,770.0,0.6383647798742138
230,0.32,780.0,0.6383647798742138
231,0.32,790.0,0.6383647798742138
232,0.32,800.0,0.6383647798742138
233,0.32,810.0,0.6383647798742138
234,0.32,820.0,0.6383647798742138
235,0.32,830.0,0.6415094339622641
236,0.32,840.0,0.6415094339622641
237,0.32,850.0,0.6383647798742138
238,0.32,860.0,0.6383647798742138
239,0.32,870.0,0.6415094339622641
240,0.32,880.0,0.6415094339622641
241,0.32,890.0,0.6446540880503144
242,0.32,900.0,0.6415094339622641
243,0.32,910.0,0.6383647798742138
244,0.32,920.0,0.6352201257861635
245,0.32,930.0,0.6383647798742138
246,0.32,940.0,0.6383647798742138
247,0.32,950.0,0.6415094339622641
248,0.32,960.0,0.6383647798742138
249,0.32,970.0,0.6383647798742138
250,0.32,980.0,0.6320754716981132
251,0.32,990.0,0.6320754716981132
252,0.32,1000.0,0.6289308176100629
253,0.32,1010.0,0.6352201257861635
254,0.32,1020.0,0.6320754716981132
255,0.32,1030.0,0.6289308176100629
256,0.32,1040.0,0.6320754716981132
257,0.32,1050.0,0.6257861635220126
258,0.32,1060.0,0.6320754716981132
259,0.32,1070.0,0.6289308176100629
260,0.32,1080.0,0.6289308176100629
261,0.32,1090.0,0.6289308176100629
262,0.32,1100.0,0.6320754716981132
263,0.32,1110.0,0.6320754716981132
264,0.32,1120.0,0.6320754716981132
265,0.32,1130.0,0.6352201257861635
266,0.32,1140.0,0.6352201257861635
267,0.32,1150.0,0.6320754716981132
268,0.32,1160.0,0.6320754716981132
269,0.32,1170.0,0.6352201257861635
270,0.32,1180.0,0.6352201257861635
271,0.32,1190.0,0.6383647798742138
272,0.32,1200.0,0.6352201257861635
273,0.32,1210.0,0.6352201257861635
274,0.32,1220.0,0.6352201257861635
275,0.32,1230.0,0.6352201257861635
276,0.32,1240.0,0.6383647798742138
277,0.32,1250.0,0.6383647798742138
278,0.32,1260.0,0.6383647798742138
279,0.32,1270.0,0.6383647798742138
280,0.32,1280.0,0.6383647798742138
281,0.32,1290.0,0.6383647798742138
282,0.32,1300.0,0.6383647798742138
283,0.32,1310.0,0.6383647798742138
284,0.32,1320.0,0.6383647798742138
285,0.32,1330.0,0.6383647798742138
286,0.32,1340.0,0.6383647798742138
287,0.32,1350.0,0.6383647798742138
288,0.32,1360.0,0.6383647798742138
289,0.32,1370.0,0.6383647798742138
290,0.32,1380.0,0.6320754716981132
291,0.32,1390.0,0.6352201257861635
292,0.32,1400.0,0.6320754716981132
293,0.32,1410.0,0.6352201257861635
294,0.32,1420.0,0.6320754716981132
295,0.32,1430.0,0.6383647798742138
296,0.32,1440.0,0.6383647798742138
297,0.32,1450.0,0.6383647798742138
298,0.32,1460.0,0.6383647798742138
299,0.32,1470.0,0.6383647798742138
300,0.32,1480.0,0.6383647798742138
301,0.32,1490.0,0.6383647798742138
302,0.32,1500.0,0.6383647798742138
303,0.33,500.0,0.649390243902439
304,0.33,510.0,0.6463414634146342
305,0.33,520.0,0.6371951219512195
306,0.33,530.0,0.6402439024390244
307,0.33,540.0,0.6371951219512195
308,0.33,550.0,0.6371951219512195
309,0.33,560.0,0.6371951219512195
310,0.33,570.0,0.6371951219512195
311,0.33,580.0,0.6371951219512195
312,0.33,590.0,0.6310975609756098
313,0.33,600.0,0.6432926829268293
314,0.33,610.0,0.6432926829268293
315,0.33,620.0,0.6432926829268293
316,0.33,630.0,0.6402439024390244
317,0.33,640.0,0.6371951219512195
318,0.33,650.0,0.6310975609756098
319,0.33,660.0,0.6371951219512195
320,0.33,670.0,0.6371951219512195
321,0.33,680.0,0.6402439024390244
