,Name,Team,Location,Opponent,Date,Result,Mins,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
104,Juancho Hernangomez,DEN,A,OKC,2017-04-12,W,35,91.3,88.6,2.6,4.5,1.0,5.3,0.0,15.6,8.2,5.3,26.5,26.5,21.2,109.45,0.0
105,David Nwaba,LAL,A,GSW,2017-04-12,L,25,93.0,89.5,3.5,9.1,2.0,28.6,0.0,9.4,4.5,14.3,50.0,51.2,7.7,108.0,5.0
106,Tony Allen,MEM,H,DAL,2017-04-12,L,6,127.3,72.7,54.5,0.0,0.0,0.0,28.6,0.0,13.3,0.0,50.0,50.0,28.6,90.51,15.4
107,Shaun Livingston,GSW,H,LAL,2017-04-12,W,18,87.5,97.4,-9.9,16.7,2.0,33.3,4.5,13.6,9.1,16.7,0.0,0.0,8.2,108.45,7.1
108,Cory Joseph,TOR,A,CLE,2017-04-12,W,6,92.3,76.9,15.4,0.0,0.0,0.0,0.0,14.3,6.7,0.0,20.0,20.0,33.3,101.46,-4.8
109,Willy Hernangomez,NYK,H,PHI,2017-04-12,W,18,111.1,125.7,-14.6,37.5,1.5,30.0,13.6,35.0,23.8,20.0,50.0,75.4,16.3,93.97,24.2
110,Tim Frazier,NOP,A,POR,2017-04-12,W,27,101.8,108.9,-7.2,36.4,8.0,42.1,3.2,3.6,3.4,5.3,18.8,30.7,16.9,100.28,5.4
111,Jarell Martin,MEM,H,DAL,2017-04-12,L,6,78.6,133.3,-54.8,0.0,0.0,0.0,38.5,20.0,33.3,16.7,25.0,41.0,28.6,109.89,17.9
112,Brandan Wright,MEM,H,DAL,2017-04-12,L,16,123.1,124.0,-0.9,10.0,0.0,20.0,20.0,6.3,12.9,0.0,33.3,51.5,12.5,77.71,11.1
113,Thomas Robinson,LAL,A,GSW,2017-04-12,L,18,77.5,102.5,-25.0,8.3,0.25,10.0,9.5,9.5,9.5,40.0,40.0,40.0,20.5,106.57,0.0
