,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity,Game ID
222,2023-12-2,CLE,DET,CLE,-9.5,225.5,18924,[],401584911
223,2023-12-2,IND,MIA,MIA,-4.5,237.5,19650,[],401584912
224,2023-12-2,NOP,CHI,CHI,-0.5,219.5,20511,[],401584913
225,2023-12-2,ATL,MIL,MIL,-6.5,252.5,17866,[],401584914
226,2023-12-2,OKC,DAL,OKC,-5.5,234.5,20277,[],401584915
227,2023-12-2,MEM,PHX,PHX,-10.5,220.5,17071,[],401584916
228,2023-12-2,POR,UTA,UTA,-1.5,217.5,18206,[],401584917
229,2023-12-2,DEN,SAC,SAC,-3.5,234.5,17829,[],401584918
230,2023-12-2,HOU,LAL,LAL,-4.5,226.5,18997,[],401584919
231,2023-12-11,MIA,CHA,MIA,-4.5,222.5,15543,[],401584920
232,2023-12-11,IND,DET,IND,-7.5,247.5,14988,[],401584921
233,2023-12-11,CLE,ORL,ORL,-2.5,225.5,19032,[],401584922
234,2023-12-11,WAS,PHI,PHI,-13.5,244.5,19762,[],401584923
235,2023-12-11,DEN,ATL,DEN,-2.5,242.5,17531,[],401584924
236,2023-12-11,TOR,NYK,NYK,-4.5,221.5,19812,[],401584925
237,2023-12-11,SAS,HOU,HOU,-8.5,223.5,16481,[],401584926
238,2023-12-11,DAL,MEM,MEM,-1.5,227.5,16379,[],401584927
239,2023-12-11,CHI,MIL,MIL,-11.5,233.5,17440,[],401584928
240,2023-12-11,MIN,NOP,NOP,-4.5,221.5,16487,[],401584929
241,2023-12-11,UTA,OKC,OKC,-12.5,235.5,16631,[],401584930
242,2023-12-11,BKN,SAC,SAC,-4.5,237.5,17794,[],401584931
243,2023-12-11,POR,LAC,LAC,-14.5,220.5,17102,[],401584932
244,2023-12-12,CLE,BOS,BOS,-11.5,226.5,19156,[],401584933
245,2023-12-12,LAL,DAL,LAL,-2.5,236.5,20377,[],401584934
246,2023-12-12,DEN,CHI,DEN,-6.5,219.5,20775,[],401584935
247,2023-12-12,GSW,PHX,GSW,-1.5,229.5,17071,[],401584936
248,2023-12-12,SAC,LAC,LAC,-3.5,237.5,17060,[],401584937
249,2023-12-13,PHI,DET,PHI,-12.5,233.5,16749,[],401584938
250,2023-12-13,NOP,WAS,NOP,-7.5,239.5,14080,[],401584939
251,2023-12-13,CHA,MIA,MIA,-7.5,222.5,19600,[],401584940
252,2023-12-13,ATL,TOR,TOR,-2.5,240.5,19423,[],401584941
253,2023-12-13,MEM,HOU,HOU,-9.5,209.5,16813,[],401584942
254,2023-12-13,IND,MIL,MIL,-6.5,258.5,17431,[],401584943
255,2023-12-13,LAL,SAS,LAL,-3.5,230.5,18354,[],401584944
256,2023-12-13,BKN,PHX,PHX,-4.5,230.5,17071,[],401584945
257,2023-12-13,NYK,UTA,NYK,-5.5,228.5,18206,[],401584946
258,2023-12-14,CLE,BOS,BOS,-9.5,227.5,19156,[],401584947
259,2023-12-14,CHI,MIA,MIA,-3.5,213.5,19653,[],401584948
260,2023-12-14,MIN,DAL,MIN,-1.5,231.5,20177,[],401584949
261,2023-12-14,BKN,DEN,DEN,-9.5,230.5,19636,[],401584950
262,2023-12-14,UTA,POR,POR,-4.5,226.5,17842,[],401584951
263,2023-12-14,OKC,SAC,SAC,-2.5,244.5,17794,[],401584952
264,2023-12-14,GSW,LAC,LAC,-2.5,231.5,19370,[],401584953
265,2023-12-15,NOP,CHA,NOP,-9.5,217.5,16080,[],401584954
266,2023-12-15,DET,PHI,PHI,-15.5,234.5,19761,[],401584955
267,2023-12-15,IND,WAS,IND,-8.5,260.5,15208,[],401584956
268,2023-12-15,ORL,BOS,BOS,-5.5,227.5,19156,[],401584957
269,2023-12-15,ATL,TOR,TOR,-1.5,241.5,19800,[],401584958
270,2023-12-15,LAL,SAS,LAL,-4.5,235.5,18354,[],401584959
271,2023-12-15,HOU,MEM,HOU,-2.5,212.5,16941,[],401584960
272,2023-12-15,NYK,PHX,PHX,-4.5,229.5,17071,[],401584961
273,2023-12-16,DET,MIL,MIL,-16.5,241.5,17666,[],401584962
274,2023-12-16,PHI,CHA,PHI,-11.5,229.5,17829,[],401584963
275,2023-12-16,ATL,CLE,CLE,-4.5,236.5,19432,[],401584964
276,2023-12-16,CHI,MIA,MIA,-4.5,219.5,19815,[],401584965
277,2023-12-16,IND,MIN,MIN,-10.5,239.5,18024,[],401584966
278,2023-12-16,BKN,GSW,GSW,-3.5,235.5,18064,[],401584967
279,2023-12-16,OKC,DEN,DEN,-5.5,237.5,19611,[],401584968
280,2023-12-16,DAL,POR,DAL,-4.5,232.5,18439,[],401584969
281,2023-12-16,UTA,SAC,SAC,-8.5,235.5,17794,[],401584970
282,2023-12-16,NYK,LAC,LAC,-6.5,229.5,19370,[],401584971
283,2023-12-17,ORL,BOS,BOS,-8.5,226.5,19156,[],401584972
284,2023-12-17,NOP,SAS,NOP,-7.5,238.5,18354,[],401584973
285,2023-12-17,HOU,MIL,MIL,-7.5,231.5,17341,[],401584974
286,2023-12-17,WAS,PHX,PHX,-12.5,246.5,17071,[],401584975
287,2023-12-17,GSW,POR,GSW,-5.5,233.5,18547,[],401584976
288,2023-12-18,HOU,CLE,CLE,-3.5,214.5,19432,[],401584977
289,2023-12-18,LAC,IND,LAC,-3.5,251.5,16665,[],401584978
290,2023-12-18,CHI,PHI,PHI,-10.5,227.5,19773,[],401584979
291,2023-12-18,DET,ATL,ATL,-11.5,246.5,17664,[],401584980
292,2023-12-18,MIN,MIA,MIN,-1.5,217.5,19819,[],401584981
293,2023-12-18,CHA,TOR,TOR,-12.5,224.5,19288,[],401584982
294,2023-12-18,MEM,OKC,OKC,-10.5,229.5,16409,[],401584983
295,2023-12-18,DAL,DEN,DEN,-8.5,239.5,19659,[],401584984
296,2023-12-18,BKN,UTA,BKN,-3.5,233.5,18206,[],401584985
297,2023-12-18,WAS,SAC,SAC,-14.5,252.5,17794,[],401584986
298,2023-12-18,NYK,LAL,LAL,-5.5,236.5,18997,[],401584987
299,2023-12-19,MEM,NOP,NOP,-8.5,229.5,18355,[],401584988
300,2023-12-19,SAS,MIL,MIL,-16.5,248.5,17729,[],401584989
301,2023-12-19,BOS,GSW,BOS,-5.5,233.5,18064,[],401584990
302,2023-12-19,PHX,POR,PHX,-7.5,230.5,18233,[],401584991
303,2023-12-20,UTA,CLE,CLE,-3.5,225.5,19432,[],401584992
304,2023-12-20,CHA,IND,IND,-10.5,245.5,16761,[],401584993
305,2023-12-20,MIA,ORL,ORL,-5.5,219.5,19129,[],401584994
306,2023-12-20,MIN,PHI,PHI,-4.5,226.5,20365,[],401584995
307,2023-12-20,NYK,BKN,NYK,-1.5,233.5,18071,[],401584996
308,2023-12-20,DEN,TOR,DEN,-4.5,229.5,19800,[],401584997
309,2023-12-20,LAL,CHI,LAL,-3.5,225.5,21234,[],401584998
310,2023-12-20,ATL,HOU,HOU,-2.5,234.5,18055,[],401584999
311,2023-12-20,LAC,DAL,LAC,-1.5,237.5,20310,[],401585000
312,2023-12-20,BOS,SAC,SAC,-3.5,237.5,17874,[],401585001
313,2023-12-21,UTA,DET,DET,-2.5,235.5,18122,[],401585002
314,2023-12-21,NOP,CLE,NOP,-4.5,224.5,19432,[],401585003
315,2023-12-21,SAS,CHI,CHI,-6.5,229.5,20697,[],401585004
316,2023-12-21,IND,MEM,MEM,-2.5,247.5,18160,[],401585005
317,2023-12-21,ORL,MIL,MIL,-8.5,238.5,17928,[],401585006
318,2023-12-21,LAC,OKC,OKC,-6.5,237.5,18203,[],401585007
319,2023-12-21,LAL,MIN,MIN,-8.5,222.5,18024,[],401585008
320,2023-12-21,WAS,POR,POR,-4.5,238.5,18690,[],401585009
321,2023-12-22,TOR,PHI,PHI,-8.5,230.5,20230,[],401585010
322,2023-12-22,DEN,BKN,DEN,-5.5,231.5,17732,[],401585011
323,2023-12-22,ATL,MIA,MIA,-1.5,238.5,20029,[],401585012
324,2023-12-22,DAL,HOU,HOU,-8.5,222.5,18055,[],401585013
325,2023-12-22,WAS,GSW,GSW,-11.5,248.5,18064,[],401585014
326,2023-12-22,PHX,SAC,SAC,-3.5,244.5,17794,[],401585015
327,2023-12-23,MIL,NYK,MIL,-2.5,243.5,19812,[],401585016
328,2023-12-23,BOS,LAC,BOS,-4.5,231.5,19370,[],401585017
329,2023-12-23,DEN,CHA,DEN,-10.5,224.5,19165,[],401585018
330,2023-12-23,ORL,IND,IND,-2.5,244.5,17274,[],401585019
331,2023-12-23,HOU,NOP,NOP,-7.5,226.5,17399,[],401585020
332,2023-12-23,MEM,ATL,ATL,-1.5,237.5,17632,[],401585021
333,2023-12-23,DET,BKN,BKN,-9.5,231.5,17732,[],401585022
334,2023-12-23,UTA,TOR,TOR,-5.5,232.5,19420,[],401585023
335,2023-12-23,CLE,CHI,CHI,-6.5,214.5,19583,[],401585024
336,2023-12-23,LAL,OKC,OKC,-3.5,239.5,18203,[],401585025
337,2023-12-23,SAS,DAL,DAL,-8.5,243.5,20409,[],401585026
338,2023-12-23,POR,GSW,GSW,-8.5,228.5,18064,[],401585027
339,2023-12-23,MIN,SAC,SAC,-2.5,232.5,17983,[],401585028
340,2023-12-25,MIL,NYK,MIL,-3.5,243.5,19812,[],401585029
341,2023-12-25,GSW,DEN,DEN,-7.5,235.5,19811,[],401585030
342,2023-12-25,BOS,LAL,BOS,-5.5,235.5,18997,[],401585031
343,2023-12-25,PHI,MIA,MIA,-2.5,227.5,20162,[],401585032
344,2023-12-25,DAL,PHX,PHX,-4.5,243.5,17071,[],401585033
345,2023-12-26,BKN,DET,BKN,-6.5,228.5,19811,[],401585034
346,2023-12-26,ORL,WAS,ORL,-7.5,237.5,16293,[],401585035
347,2023-12-26,ATL,CHI,ATL,-2.5,237.5,21420,[],401585036
348,2023-12-26,IND,HOU,HOU,-2.5,240.5,18055,[],401585037
349,2023-12-26,MEM,NOP,NOP,-4.5,228.5,18538,[],401585038
350,2023-12-26,MIN,OKC,OKC,-1.5,230.5,18203,[],401585039
351,2023-12-26,UTA,SAS,UTA,-2.5,241.5,18579,[],401585040
352,2023-12-26,SAC,POR,SAC,-8.5,236.5,18585,[],401585041
353,2023-12-26,CHA,LAC,LAC,-11.5,226.5,19370,[],401585042
354,2023-12-27,PHI,ORL,ORL,-2.5,228.5,19179,[],401585043
355,2023-12-27,TOR,WAS,TOR,-6.5,242.5,15437,[],401585044
356,2023-12-27,MIL,BKN,MIL,-9.5,244.5,18199,[],401585045
357,2023-12-27,PHX,HOU,PHX,-2.5,225.5,18055,[],401585046
