,Date,Home,Away,Favorite,Spread,O/U,Attendance,Capacity
130,11/13/2023,CLE,SAC,SAC,-3.5,228.5,17829,[]
131,11/15/2023,DAL,WAS,DAL,-3.5,243.5,16632,[]
132,11/15/2023,NYK,ATL,ATL,-1.5,229.5,17060,[]
133,11/15/2023,BOS,PHI,BOS,-1.5,223.5,19773,[]
134,11/15/2023,MIL,TOR,MIL,-1.5,224.5,19800,[]
135,11/15/2023,ORL,CHI,CHI,-2.5,215.5,19092,[]
136,11/15/2023,MIN,PHX,PHX,-4.5,222.5,17071,[]
137,11/15/2023,SAC,LAL,LAL,-0.5,237.5,18687,[]
138,11/15/2023,CLE,POR,CLE,-10.5,217.5,18137,[]
139,11/16/2023,BKN,MIA,MIA,-3.5,214.5,19866,[]
140,11/16/2023,OKC,GSW,OKC,-3.5,226.5,18064,[]
141,11/18/2023,NYK,CHA,NYK,-6.5,224.5,19171,[]
142,11/18/2023,MIN,NOP,MIN,-7.5,220.5,15536,[]
143,11/18/2023,MIA,CHI,MIA,-1.5,212.5,18063,[]
144,11/18/2023,DAL,MIL,MIL,-1.5,247.5,18128,[]
145,11/18/2023,MEM,SAS,MEM,-3.5,226.5,18354,[]
146,11/18/2023,OKC,GSW,GSW,-1.5,236.5,18064,[]
147,11/19/2023,PHI,BKN,PHI,-3.5,224.5,17934,[]
148,11/19/2023,ORL,IND,IND,-4.5,236.5,17276,[]
149,11/19/2023,DEN,CLE,DEN,-4.5,215.5,19432,[]
150,11/19/2023,DET,TOR,TOR,-9.5,219.5,19182,[]
151,11/19/2023,SAC,DAL,DAL,-1.5,246.5,20211,[]
152,11/19/2023,BOS,MEM,BOS,-12.5,222.5,17798,[]
153,11/19/2023,PHX,UTA,PHX,-5.5,238.5,18206,[]
154,11/19/2023,OKC,POR,OKC,-6.5,223.5,18235,[]
155,11/19/2023,HOU,LAL,LAL,-6.5,221.5,18997,[]
156,11/20/2023,BOS,CHA,BOS,-8.5,234.5,19134,[]
157,11/20/2023,DEN,DET,DEN,-9.5,225.5,19403,[]
158,11/20/2023,MIL,WAS,MIL,-10.5,246.5,17746,[]
159,11/20/2023,MIA,CHI,MIA,-1.5,209.5,19258,[]
160,11/20/2023,NYK,MIN,MIN,-2.5,214.5,18024,[]
161,11/20/2023,SAC,NOP,SAC,-1.5,237.5,16004,[]
162,11/20/2023,LAC,SAS,LAC,-9.5,231.5,18354,[]
163,11/20/2023,HOU,GSW,GSW,-7.5,220.5,18064,[]
