,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
59,Lester Quinones GSW,GSW,H,04/14/2024,W,17,116.7,91.7,25.0,30.0,3.00,20.0,4.5,0.0,2.5,6.7,54.5,54.5,26.7,99.98,8.7,
60,Orlando Robinson MIA,MIA,H,04/14/2024,W,2,40.0,166.7,-126.7,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.18,0.0,
61,Saben Lee PHX,PHX,H,04/14/2024,W,5,120.0,170.0,-50.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.11,0.0,
62,Malik Beasley MIL,MIL,H,04/14/2024,L,20,92.7,126.8,-34.1,0.0,0.00,0.0,0.0,10.5,5.6,0.0,33.3,33.3,13.3,96.55,3.8,
63,Taylor Hendricks UTA,UTA,H,04/14/2024,L,41,119.8,117.4,2.3,5.9,2.00,14.3,7.1,11.4,9.3,7.1,70.0,73.5,11.8,100.23,10.8,
64,Tyler Herro MIA,MIA,H,04/14/2024,W,30,113.8,82.5,31.3,34.8,1.33,29.6,0.0,15.8,9.7,22.2,54.5,64.4,26.0,104.31,18.6,
65,Nickeil Alexander-Walker MIN,MIN,H,04/14/2024,L,18,97.1,114.3,-17.1,18.2,0.00,33.3,0.0,0.0,0.0,0.0,37.5,37.5,11.1,94.83,5.5,
66,Luka Samanic UTA,UTA,H,04/14/2024,L,29,108.2,121.0,-12.8,10.0,0.29,9.5,3.2,13.8,8.3,33.3,45.5,54.9,26.0,101.97,3.4,
67,Shai Gilgeous-Alexander OKC,OKC,H,04/14/2024,W,16,166.7,66.7,100.0,33.3,0.00,33.3,7.7,0.0,3.1,0.0,45.5,56.8,29.3,99.52,21.5,
68,Pete Nance CLE,CLE,H,04/14/2024,L,12,56.0,133.3,-77.3,0.0,0.00,0.0,0.0,9.1,4.0,0.0,50.0,50.0,11.1,98.00,2.2,
69,Haywood Highsmith MIA,MIA,H,04/14/2024,W,24,122.0,102.1,19.9,4.8,0.50,12.5,4.8,8.0,6.5,25.0,50.0,50.0,12.3,96.66,1.4,
70,Trey Lyles SAC,SAC,H,04/14/2024,W,19,126.3,55.3,71.1,20.0,0.00,37.5,13.6,20.0,17.0,0.0,37.5,51.2,10.6,97.19,18.4,
71,Leonard Miller MIN,MIN,H,04/14/2024,L,5,170.0,120.0,50.0,0.0,0.00,0.0,33.3,25.0,30.0,0.0,33.3,33.3,20.0,105.11,7.0,
72,Taj Gibson DET,DET,H,04/14/2024,L,8,52.9,111.1,-58.2,0.0,0.00,0.0,7.1,14.3,9.5,0.0,33.3,33.3,14.3,106.78,5.7,
73,Isaiah Thomas PHX,PHX,H,04/14/2024,W,5,120.0,170.0,-50.0,25.0,0.00,25.0,0.0,0.0,0.0,0.0,50.0,50.0,27.3,105.11,7.0,
74,Ibou Badji POR,POR,H,04/14/2024,L,10,100.0,90.9,9.1,0.0,0.00,0.0,0.0,0.0,0.0,33.3,50.0,50.0,10.3,108.06,-3.0,
75,Harry Giles III,LAL,A,NOP,04/14/2024,W,2,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,66.7,33.3,0.0,0.0,0.0,0.0,134.58,400.0
76,Braxton Key DEN,DEN,H,04/14/2024,W,1,66.7,116.7,-50.0,0.0,0.00,0.0,0.0,100,100,0.0,0.0,113.6,16.7,208.19,57.1,
